"X.AUTHID","sent.content","sent_seq_id"
"b'https://www.caesars.com/rio-las-vegas/restaurants/royal-india-bistro?icml=lasvegasblog_CNW_Restaurants_RLV'",";Enjoy a truly Indian e by starting your meal with one of our famous fire baked breads, Naan.",3437
"b'https://www.caesars.com/rio-las-vegas/restaurants/royal-india-bistro?icml=lasvegasblog_CNW_Restaurants_RLV'","You'll love our homemade pistachio ice cream, Kulfi or rice pudding, Kheer.",3443
"b'https://www.caesars.com/rio-las-vegas/restaurants/royal-india-bistro?icml=lasvegasblog_CNW_Restaurants_RLV'",";Dine like royalty at the Royal India Bistro;Naan to pair with any meal;The freshest Indian cuisine in Las Vegas;Make your reservation today;E Offers for Total Rewards Members;Subscribe To Our Email Newsletter;TOTAL REWARDS;Caesars welcomes those that are of legal casino gambling age to our website.;.",3445
"b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=603418'","In nearly eight years of service with Under Armour, as Chief Operating Officer and previously as Chief Financial Officer, Mr. Marino has played a lead role in building a foundation for sustainable growth and in guiding the company past the $1 billion revenue threshold.",4440
"b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=603418'","As part of a series of moves designed to enhance Under Armour\'s management team and to optimize the growth of the Brand, Under Armour veteran, Kip Fulks has assumed additional responsibilities and has been appointed Chief Operating Officer, effective immediately.;Mr.",4441
"b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=603418'","As COO, Mr. Fulks will continue to oversee the design and development of the companys products, and will add to his responsibilities the oversight of the companys sourcing and information technology areas.",4443
"b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=603418'","Plank continued, I have asked Kip, a tested leader at our company with great instincts and proven results in managing growth in product and supply chain, to take on additional responsibility and further align our product and sourcing areas to take the Brand and our business to the ne level.;Mr.",4446
"b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=603418'",";Under Armour also has established the role of Chief Performance Officer, appointing Under Armour Board member Chip Adams to this new e position with primary responsibility for the development of company-wide business strategy and organizational alignment and processes.",4451
"b'https://www.citrix.com/blogs/2015/10/08/government-case-study-department-of-corrections/'","b' Using these trends, Ive created a series of SLG Case Studies that looks at what agencies are currently accomplishing with Citrix, with the ultimate goal of allowing other government agencies to use these e as a template for how they can take a similar approach in solving their current challenges.",3500
"b'https://www.citrix.com/blogs/2015/10/08/government-case-study-department-of-corrections/'",";When speaking with Department of Corrections agencies, the most common use case they are looking to address is delivery of specific applications to prisons throughout the state.",3502
"b'https://www.citrix.com/blogs/2015/10/08/government-case-study-department-of-corrections/'","As these inmates do not have their own laptops (imagine that BYOD policy), DOC agencies set up computer labs and classrooms with devices for their use where they can access resources such as law libraries and GED courses.",3504
"b'https://www.citrix.com/blogs/2015/10/08/government-case-study-department-of-corrections/'",";The scenario I described above is a common scenario Ive seen with several states, and is the perfect use case for virtualization of applications such as the electronic law library from Le and Pearson VUE for GED testing.",3505
"b'https://www.citrix.com/blogs/2015/10/08/government-case-study-department-of-corrections/'","Using Citrix XenApp, these apps can be delivered to thin clients in prisons computer labs/classrooms across the state.",3506
"b'https://www.citrix.com/blogs/2015/10/08/government-case-study-department-of-corrections/'",";Its important to note that these Citrix sessions can be completely locked down via Citrix and Microsoft policies to prevent inmates from breaking out of the session and communicating with the outside world.",3512
"b'https://www.citrix.com/blogs/2015/10/08/government-case-study-department-of-corrections/'","; First, thebad news: The SWIFT CSP self-attestation deadline is fast approaching.",3519
"b'https://www.citrix.com/blogs/2015/10/08/government-case-study-department-of-corrections/'","Theres still time, and help ; On 18th May 2018, the General Data Protection Regulation (GDPR) will come into force and affect the way that personal ; Recently, Brad Anderson from Microsoft joined us in Santa Clara for a live event and webcast to address a key ;Dont worry, you can unsubscribe at anytime.",3520
"b'https://digitalprinting.blogs.xerox.com/tag/business-development/page/3/'","See how two print and marketing service providers have found growth by aggregating production volume from small and medium-sized businesses that share industry-specific marketing needs.",2836
"b'https://digitalprinting.blogs.xerox.com/tag/business-development/page/3/'","One of the best ways to gain an edge in today hyper-competitive graphic communications industry is by defining, pursuing and becoming an e in target markets.",2838
"b'https://digitalprinting.blogs.xerox.com/tag/business-development/page/3/'","Recap of Hunkeler Innovationdays 2013 and Xerox presence, including a look at the CiPress Single Engine Duplex and a sneak-peek at the Color 8250 Production Press How using LinkedIn for prospecting coupled with hosting a small customer networking event can pay huge dividends for your business and your customers.",2844
"b'https://digitalprinting.blogs.xerox.com/tag/business-development/page/3/'","Written by Dharminder Biharie Development Manager Graphic Communication, The Netherlands In elementary school, we were always taught the golden rule: treat others the way you would like Written by Joel Basa, e-Marketing Manager at Xerox Corporation Once again, it that time of year again!",2845
"b'https://digitalprinting.blogs.xerox.com/tag/business-development/page/3/'","Graph E 2011 is almost here!",2846
"b'https://digitalprinting.blogs.xerox.com/tag/business-development/page/3/'","With so much to Written by Joel Basa, e-Marketing Manager at Xerox Corporation This was a last minute addition but we covering the Digital Packaging TLW live from the Gil Hatch Written by Joel Basa, e-Marketing Manager at Xerox Corporation 188,500!",2847
"b'http://searsholdings.com/press-releases/pr/1997'","It\'s a cause that truly unites us, and an opportunity to give back this holiday to those who served.""",3054
"b'http://searsholdings.com/press-releases/pr/1997'","Sears also introduced limited-edition products for the holiday season that give back to Heroes at Home with every purchase, including: ""Taking care of our veterans is paramount, especially their safety, health and mobility,"" said , President and CEO of Rebuilding Together.",3055
"b'http://searsholdings.com/press-releases/pr/1997'","Year-round, Sears offers active, reserve or retired military personnel or military spouses 20 percent off regular-priced (five percent off sale-priced) tools and lawn and garden products, with a valid military ID or military spouse ID.",3057
"b'http://searsholdings.com/press-releases/pr/1997'","Sears also announced a bonus for shoppers planning ahead for and Black Friday: For the first time, Sears will release its highly anticipated Black Friday ad first to Shop Your Way members via the Sears mobile app.",3058
"b'http://searsholdings.com/press-releases/pr/1997'","Sears, Roebuck and Co., a wholly owned subsidiary of Sears Holdings Corporation (NASDAQ: SHLD), is a leading integrated retailer providing merchandise and related services and part of Shop Your Way, a social shopping e where members have the ability to earn points and receive benefits across a wide variety of physical and digital formats through ., Roebuck offers its wide range of home merchandise, apparel and automotive products and services through Sears-branded and affiliated full-line and specialty retail stores in the United States., Roebuck also offers a variety of merchandise and services through sears.com, landsend.com and specialty catalogs.",3061
"b'http://searsholdings.com/press-releases/pr/1997'","For more information, visit the Sears, Roebuck website at the Sears Holdings Corporation website at .",3063
"b'http://searsholdings.com/press-releases/pr/1997'","Rebuilding Together is a leading national nonprofit in safe and healthy housing with more than 40 years of e. Together, with our corporate and community partners, we transform the lives of low-income homeowners by improving the safety and health of their homes and revitalizing our communities.",3064
"b'http://searsholdings.com/press-releases/pr/1997'","Learn more and get involved at .",3066
"b'https://connect.blogs.xerox.com/2017/08/11/set-the-page-free-in-the-modern-workplace-to-automate-or-not/'","b' have to figure out what technology should do for us, and what we must do for ourselves.",2628
"b'https://connect.blogs.xerox.com/2017/08/11/set-the-page-free-in-the-modern-workplace-to-automate-or-not/'","Randy Dazo is the group director for Office Document Technology at .",2633
"b'https://connect.blogs.xerox.com/2017/08/11/set-the-page-free-in-the-modern-workplace-to-automate-or-not/'","For people who blog or consult on the side, in addition to their regular jobs, handling messages from multiple work lives is all the more challenging.",2643
"b'https://connect.blogs.xerox.com/2017/08/11/set-the-page-free-in-the-modern-workplace-to-automate-or-not/'","have used tools that automatically prioritize messages, but they not proactive, nor do they offer a high enough level of personalization to be truly effective, Dazo said.",2644
"b'https://connect.blogs.xerox.com/2017/08/11/set-the-page-free-in-the-modern-workplace-to-automate-or-not/'","Technology enables us to receive more messages, quicker than before.",2645
"b'https://connect.blogs.xerox.com/2017/08/11/set-the-page-free-in-the-modern-workplace-to-automate-or-not/'","He admits the threshold will be different for each person.",2649
"b'https://connect.blogs.xerox.com/2017/08/11/set-the-page-free-in-the-modern-workplace-to-automate-or-not/'","technology changes how we think and what we think about, Dazo said.",2653
"b'https://connect.blogs.xerox.com/2017/08/11/set-the-page-free-in-the-modern-workplace-to-automate-or-not/'","have to figure out what technology do for us, and what must do for ourselves.",2654
"b'https://connect.blogs.xerox.com/2017/08/11/set-the-page-free-in-the-modern-workplace-to-automate-or-not/'","This is the reality that informs the Xerox view of the nature of page: Hard copy and digital information from multiple sources, in multiple forms, accessible on multiple platforms.",2657
"b'https://connect.blogs.xerox.com/2017/08/11/set-the-page-free-in-the-modern-workplace-to-automate-or-not/'","Eventually, a software program will be able to determine that rare message from Aunt Sue is urgent and give it precedence over your manager inquiries maybe even quicker than your grandfather secretary did back in the day.",2662
"b'https://www.citrix.com/blogs/2017/07/25/are-you-struggling-as-a-mid-sized-company-it-manager/'","It comes in four forms from the company who has been forging new ground in IT solutions for the past 28 yearsCitrix.",3740
"b'https://www.citrix.com/blogs/2017/07/25/are-you-struggling-as-a-mid-sized-company-it-manager/'","And since Citrix now manages the infrastructure on your behalf, your CSA can focus on your core IT business, inclusive of application and desktop virtualization, security and mobility.",3746
"b'https://www.citrix.com/blogs/2017/07/25/are-you-struggling-as-a-mid-sized-company-it-manager/'","This is the Citrix Workspace Appliance program, which is a self-contained, on-premises solution complete with best-in-class HCI appliances from Citrix partners that are connected to Citrix Cloud.",3749
"b'https://www.citrix.com/blogs/2017/07/25/are-you-struggling-as-a-mid-sized-company-it-manager/'","This solution allows you to maintain all of your storage/data and workloads onsite but also take advantage of Citrix Cloud for active management of your IT solutions.",3750
"b'https://www.citrix.com/blogs/2017/07/25/are-you-struggling-as-a-mid-sized-company-it-manager/'","The Citrix Service Provider (CSP) partner program allows our partners to utilize all of our technology and bring it to you in a service offering for the management of your applications, networks, data and security.",3754
"b'https://www.citrix.com/blogs/2017/07/25/are-you-struggling-as-a-mid-sized-company-it-manager/'","We enable the CSP and they provide a full-service IT solution to your company with no upfront costs and predicable monthly payments.",3755
"b'https://www.citrix.com/blogs/2017/07/25/are-you-struggling-as-a-mid-sized-company-it-manager/'","Moreover, since our CSPs offer a multi-tenant solution you get the benefit of scale without being a huge enterprise business.",3757
"b'https://www.citrix.com/blogs/2017/07/25/are-you-struggling-as-a-mid-sized-company-it-manager/'","If you are already an e in Citrix solutions but just need a way to run your workloads in the cloud, Citrix has partnered with Microsoft to give you the best cloud infrastructure solution for XenApp and XenDesktop.",3761
"b'https://www.citrix.com/blogs/2017/07/25/are-you-struggling-as-a-mid-sized-company-it-manager/'","In addition, you get the benefits of both Citrix and Microsoft Cloud solutions in a single bundle.",3763
"b'https://www.citrix.com/blogs/2017/07/25/are-you-struggling-as-a-mid-sized-company-it-manager/'","For the first half of his career, he managed and directed teams in Software and Systems Engineering.",3767
"b'http://www.wholefoodsmarket.com/blog/everybody-wins-citrus-showdown'","That why I grateful for seasonal citrus.",4522
"b'http://www.wholefoodsmarket.com/blog/everybody-wins-citrus-showdown'","From tangy Satsumas to tart limes to juicy Tangelos, peak of the season citrus adds flavor bursts to salads, cocktails, baked goods, sauces, vinaigrettes and more.",4524
"b'http://www.wholefoodsmarket.com/blog/everybody-wins-citrus-showdown'","This season we got a battle of epic flavor featuring two of our favorite citrus superstars Satsuma v Clementine and we need your help to pick the season champion.",4526
"b'http://www.wholefoodsmarket.com/blog/everybody-wins-citrus-showdown'","Intense, tangy and sweet with a bright and lively finish Thinner, loose rind, distinct knot California and Florida The bold taste is perfect for adding e zip to recipes.",4536
"b'http://www.wholefoodsmarket.com/blog/everybody-wins-citrus-showdown'","Citrus can successfully be incorporated into your holidays in many ways - think table arrangements, , and gifts like a basket of whole citrus or jar of .",4544
"b'http://www.wholefoodsmarket.com/blog/everybody-wins-citrus-showdown'","Enter your comment by Wednesday, December 12 and we pick ten winners at random to receive a case of their citrus champion of choice clementines or Satsumas To provide feedback or ask a question about our company, a store or a product, please visit our page.",4547
"b'http://www.wholefoodsmarket.com/blog/everybody-wins-citrus-showdown'","Your e password has not been changed.'",4557
"b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates'","Fran Bigelow opened her original Seattle store, Fran Patisserie & Chocolate Specialties, in 1982, focusing on freshly baked pastries and cakes.",4593
"b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates'","Her move toward confections began gradually; if you were lucky enough to be one of the early customers, you were often treated to a free chocolate truffle while waiting in line to purchase baked goods.",4594
"b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates'","And of course, you can find Fran Chocolates in Whole Foods Market stores throughout the US.",4599
"b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates'","Since Fran marks 30 years of producing one-of-a-kind sweets on June 1 of this year, I took a tour of their production kitchens with CEO Andrina Bigelow, Fran daughter, to learn just what makes them so special.",4600
"b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates'","Hue (shown here) has been part of Fran for 19 years, and in the early years it was just Fran and Hue tying the ribbons on each box.",4601
"b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates'","I found the secret to Fran success can be boiled down to the highest quality ingredients; unwavering attention to detail with a focus on taste; and hiring and nurturing a talented team.",4604
"b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates'","To provide feedback or ask a question about our company, a store or a product, please visit our page.",4607
"b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates'","37 comments says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says Get seasonal recipes, cooking tips, product highlights and coupons delivered to your inbox!",4609
"b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates'","Your e password has not been changed.'",4617
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'","We are proud of our legacy but we also recognize the need to adapt, innovate and transform .",131
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'","Like many other things that have been impacted by emerging and mobile technologies, customers shopping behavior has dramatically changed in the past few years as well.",132
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'","That why we have been so focused on Integrated Retail, which means leveraging our strengths our associates, physical stores, online and mobile capabilities, the Shop Your Way membership program, and a robust supply chain to provide our members with the ease of shopping online and the physical aspect of shopping in store.",137
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'","We don think in terms of store investments versus online investments because in many ways one complements the other.",140
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'","Rather, investing in online allows us to bring those digital capabilities into our stores, and investing in our stores makes inventory and fulfillment options available to our members online.",141
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'","Our online and mobile investments are part of the shopping eco-system, with Shop Your Way at the core of the transformation.",142
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'","Transforming Sears Holdings from a company focused on running stores and selling products to a company focused on serving members across any channel (stores, online, mobile) is not easy and it doesn happen overnight.",143
"b'http://blog.searsholdings.com/leadership-viewpoint/the-role-of-technology-in-our-transformation/'","I am fortunate to work every day with a talented team that is creative, passionate and determined to figure out ways to provide our members with the best possible integrated retail e in our stores.",145
"b'http://blogs.zebra.com/topic/location-solutions'","Jill wasnt looking for conversation on the flight, but when an interested football fan sat ne to her, the Zebra logo gear prompted an intriguing conversation.",544
"b'http://blogs.zebra.com/topic/location-solutions'","; Topics: ;, ;, ;, ;, ; Posted by ; July 11, 2016 at 8:00 AM ; ;A whopping 99 percent of hotel guests arrive carrying at least one mobile device.",548
"b'http://blogs.zebra.com/topic/location-solutions'","; Thats why an estimated 64 percent of hotels offer their guests free Wi-Fi services when they travel.",550
"b'http://blogs.zebra.com/topic/location-solutions'","; Topics: ;, ;, ; Posted by ; June 12, 2015 at 8:05 AM ; Topics: ;, ;, ;, ;, ;, ;, ;, ;, ;, ;, ;, ;, ;, ;, ; Posted by ; March 27, 2015 at 7:47 AM ; ;Todays consumers and businesses rely on Smartphones, tablets and other Wi-Fi and Bluetooth enabled devices for a wide array of personal and commercial applications.",552
"b'http://blogs.zebra.com/topic/location-solutions'","All major brands in retail, hospitality and airports are connecting with shoppers, guest and visitors through their devices, delivering a personalized e using location based services.",553
"b'http://blogs.zebra.com/topic/location-solutions'","Businesses are increasingly deploying real-time Wi-Fi and Bluetooth Low Energy (BLE) based location services to offer better customer e and engage with personalized promotions and in-venue coupons.",554
"b'http://blogs.zebra.com/topic/location-solutions'","; Topics: ;, ;, ;, ;, ;, ;, ;, ; Posted by ; December 18, 2014 at 10:17 AM ; Topics: ;, ;, ;, ;, ;, ;, ;, ;, ;, ; '",561
"b'https://connect.blogs.xerox.com/2015/12/16/masters-of-the-mall-tips-for-getting-seasonal-staffers-ready-for-the-rush/'","do retailers assure their reinforcements offer good information, and accurately represent the retail brand at the point of need in the store With the holiday rush ratcheting up, these workers don have the days or weeks for the training most full time associates get.",2489
"b'https://connect.blogs.xerox.com/2015/12/16/masters-of-the-mall-tips-for-getting-seasonal-staffers-ready-for-the-rush/'","Foregoing traditional classroom training sessions for technology-enabled informal learning will actually help these modern learners retain more, and be more versatile with the application of their knowledge.",2490
"b'https://connect.blogs.xerox.com/2015/12/16/masters-of-the-mall-tips-for-getting-seasonal-staffers-ready-for-the-rush/'","#BlackFriday http:/ctt.ec/4K9+ Here are four tips for turning seasonal help in to shopping sales success: Digestible content should be accessible at the point of need via tablets, mobile apps, or in-store kiosks.",2493
"b'https://connect.blogs.xerox.com/2015/12/16/masters-of-the-mall-tips-for-getting-seasonal-staffers-ready-for-the-rush/'","The customer comes to the store for an e you want your associate focused on providing that e, versus simply making the sale.",2496
"b'https://connect.blogs.xerox.com/2015/12/16/masters-of-the-mall-tips-for-getting-seasonal-staffers-ready-for-the-rush/'","The content you provide on specific products, services or features, has to be set into the conte of the desired e. The associate must be able to find it, understand it and share it, without losing track of the e in in less than four minutes in order to assure the positive customer e remains intact.",2497
"b'https://connect.blogs.xerox.com/2015/12/16/masters-of-the-mall-tips-for-getting-seasonal-staffers-ready-for-the-rush/'","This can play out in several ways they can use other in-store e for assistance, engage an e or a community of e quickly via a mobile device.",2501
"b'https://connect.blogs.xerox.com/2015/12/16/masters-of-the-mall-tips-for-getting-seasonal-staffers-ready-for-the-rush/'","Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",2507
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle'","FMC\'s scope of supply includes six subsea production trees, six wellheads, two manifolds, subsea and topside controls and flowline connection systems.",1073
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle'","Deliveries are e to commence in the second half of 2012 and continue through 2013.;""Greater Western Flank becomes the most recent addition to the many Woodside projects that FMC supports under our e frame agreement,"" said ;, FMC\'s Senior Vice President, Global Subsea Production Systems.",1074
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle'","The words ""believe,"" ""e,"" ""anticipate,"" ""plan,"" ""intend,"" ""foresee,"" ""should,"" ""would,"" ""could"" and similar e, including the negative thereof, are intended to identify forward-looking statements, which are generally not historical in nature.",1076
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle'","These forward-looking statements are based on the Company\'s current e and beliefs concerning future developments and their potential effect on the Company.",1077
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle'","While management believes that these forward-looking statements are reasonable as and when made, there can be no assurance that any projected results or events will be achieved.",1078
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle'",";All of the Company\'s forward-looking statements involve significant risks and uncertainties (some of which are beyond the Company\'s control) and assumptions that could cause actual results to differ materially from our historical e and our present e or projections.",1079
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle'","The Company undertakes no obligation to publicly update or revise any of its forward-looking statements after the date they are made, whether as a result of new information, future events or otherwise.",1083
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle'",";SOURCE ;News Provided by Acquire Media;TechnipFMC plc Registered in England and Wales Registered No.",1084
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229902&c=254471&p=irol-newsArticle'","09909709 One St. Pauls Churchyard, London, EC4M 8AP, United Kingdom; Copyright 2017 TechnipFMC'",1085
"b'http://www.uabiz.com/news/releasedetail.cfm?releaseid=936248'","b' (NYSE:UA) today announced that Chief Operating Officer and Chief Financial Officer Brad Dickerson will be stepping down to pursue another professional opportunity outside of the athletic performance industry.",4486
"b'http://www.uabiz.com/news/releasedetail.cfm?releaseid=936248'","Mr. Dickerson has been with Under Armour since 2004, serving as CFO since 2008, and more recently gaining the title of COO in early 2015.;.",4487
"b'http://www.uabiz.com/news/releasedetail.cfm?releaseid=936248'","Dickerson will remain with Under Armour until February 2016 in order to ensure a smooth transition of leadership and responsibilities, and will continue to serve in his current roles while Under Armour conducts an e search for a new CFO.",4488
"b'http://www.uabiz.com/news/releasedetail.cfm?releaseid=936248'","The new CFO will report directly to Kevin Plank, Under Armour\'s founder and Chief E Officer.",4489
"b'http://www.uabiz.com/news/releasedetail.cfm?releaseid=936248'","In addition, Under Armour e to allocate key operational duties of the COO role to the new CFO and the current e leadership team as part of the transition process.",4490
"b'http://www.uabiz.com/news/releasedetail.cfm?releaseid=936248'","""During his time at Under Armour, Brad has played an integral role in providing value for the company by building a strong team and demonstrating a core competency of accelerating growth, taking the company from pre-IPO to a multi-billion dollar global business.",4492
"b'http://www.uabiz.com/news/releasedetail.cfm?releaseid=936248'","Designed to make all athletes better, the brand\'s innovative products are sold worldwide to athletes at all levels.",4497
"b'http://www.uabiz.com/news/releasedetail.cfm?releaseid=936248'","For further information, please visit the Company\'s website at ;.",4500
"b'https://newsroom.hawaiianairlines.com/releases/hawaiian-airlines-names-casey-vice-chairman-and-c-e-o-e-v-p-robert-w-zoller-named-president-and-chief-operating-officer'","b', the company elevated E Vice President - Operations and Service Robert W. Zoller to the position of President and Chief Operating Officer.",3213
"b'https://newsroom.hawaiianairlines.com/releases/hawaiian-airlines-names-casey-vice-chairman-and-c-e-o-e-v-p-robert-w-zoller-named-president-and-chief-operating-officer'","The integration of the new 717 interisland aircraft fleet, evaluation of long-range aircraft, route development and achievement of satisfactory profitability present unprecedented management challenges.",3215
"b'https://newsroom.hawaiianairlines.com/releases/hawaiian-airlines-names-casey-vice-chairman-and-c-e-o-e-v-p-robert-w-zoller-named-president-and-chief-operating-officer'","spearheaded Hawaiian\'s interisland fleet renewal program, resulting in the company\'s largest investment in history - a transaction valued at $430 million to purchase 13 new Boeing 717-200 aircraft with options on seven additional planes - to completely replace Hawaiian\'s current interisland fleet of McDonnell Douglas DC-9 aircraft.",3224
"b'https://newsroom.hawaiianairlines.com/releases/hawaiian-airlines-names-casey-vice-chairman-and-c-e-o-e-v-p-robert-w-zoller-named-president-and-chief-operating-officer'","He continues to lead the company\'s plans to renew its long-range widebody fleet of McDonnell Douglas DC-10s as well as directing negotiations with the company\'s principal unions toward new contracts., who oversaw the integration of 717 aircraft at AirTran, Boeing\'s first customer for the new jet, joined Hawaiian on December 1, 1999 as E Vice President - Operations and Service.",3225
"b'https://newsroom.hawaiianairlines.com/releases/hawaiian-airlines-names-casey-vice-chairman-and-c-e-o-e-v-p-robert-w-zoller-named-president-and-chief-operating-officer'","He has led the company\'s fleet transition team in planning and managing the integration of 717s into Hawaiian\'s operations.",3226
"b'https://newsroom.hawaiianairlines.com/releases/hawaiian-airlines-names-casey-vice-chairman-and-c-e-o-e-v-p-robert-w-zoller-named-president-and-chief-operating-officer'","He is also integral to the company\'s widebody fleet planning and will lead another transition when the company chooses a successor to its DC-10 aircraft.",3227
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229883&c=254471&p=irol-newsArticle_Print'","The contract has a value of appro ; in revenue to FMC.",1021
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229883&c=254471&p=irol-newsArticle_Print'","The words ""believe,"" ""e,"" ""anticipate,"" ""plan,"" ""intend,"" ""foresee,"" ""should,"" ""would,"" ""could"" and similar e, including the negative thereof, are intended to identify forward-looking statements, which are generally not historical in nature.",1029
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229883&c=254471&p=irol-newsArticle_Print'","These forward-looking statements are based on the Company\'s current e and beliefs concerning future developments and their potential effect on the Company.",1030
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229883&c=254471&p=irol-newsArticle_Print'",";All of the Company\'s forward-looking statements involve significant risks and uncertainties (some of which are beyond the Company\'s control) and assumptions that could cause actual results to differ materially from our historical e and our present e or projections.",1032
"b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229883&c=254471&p=irol-newsArticle_Print'","Known material factors that could cause our actual results to differ from those in the forward-looking statements include the Company\'s ability to enter into additional projects with Statoil, the amount of subsea equipment actually ordered pursuant to the agreement and the Company\'s ability to successfully manufacture and deliver, and Statoil\'s acceptance of, the subsea systems ordered.",1033
