"X.AUTHID","sent_seq_id","binLabelScr","WhetherNeg","NegScr","target_entities","target_ent_size","spec_domain","binScrLevel0","binScrLevel1","binScrLevel2","whetherCentral","sent_rec_scr","sent.content"
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",156,0.4,0,0,"['Our', 'It', 'Our']",3,"searsholdings",1,0,0,2,4,"We are proud of our members response to the new styles of various brands, such as: It vital that we offer our members and customers the right fashion at the right time at the right price."
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",162,0.2,0,0,"['We', 'We', 'we']",3,"searsholdings",1,0,0,3,4,"We are starting to see traction in the changes we are making in the apparel business and we look forward to the year ahead."
"b'http://blog.searsholdings.com/shc-updates/just-the-facts-our-apparel-business/'",165,0.2,1,0.138,"['statements', 'results']",2,"searsholdings",1,0,0,0,5,"Forward-looking statements are subject to various risks, assumptions and uncertainties, including risks, uncertainties and factors discussed in our most recent Annual Report on Form 10-K and other filings with the Securities and E Commission, that may cause our actual results, performance or achievements to be materially different from any future results, performance or achievements e or implied by these forward-looking statements."
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",167,0.4,0,0,"we",1,"searsholdings",1,0,0,1,4,"b'SHC Speaks by Today we would like to recognize one of our Kmart managers, Felicia (Towe) Pittman, for receiving the 2015 Presidents Lifetime Achievement Award, the highest honor, from the (PVSA) volunteer awards program ."
"b'http://blog.searsholdings.com/voices-from-the-field/kmart-associate-receives-presidential-recognition-for-volunteerism/'",182,0.4,1,0.356,"['My']",1,"searsholdings",1,0,0,0,5,"My is to assist in the fight for a cure by raising awareness through the stories of survivors, fighters or those who have lost their battle to cancer while offering support to cancer patients and their families."
"b'http://blogs.autodesk.com/autocad/graphics-enhancements-part-1-tuesday-tips-lynn/'",1,0.8,1,0.298,"(No subject)",0,"autodesk",0,0,1,0,5,"b'(1);Are you tired of those pesky jagged diagonal lines and unsmooth curves in AutoCAD?"
"b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key'",199,0.4,1,0.139,"(No subject)",0,"zebra",1,0,0,0,5,";One of these challenges is understanding current-day supply and demand."
"b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key'",202,0.2,0,0,"consumers",1,"zebra",1,0,0,1,4,"Simply adapting, meeting and e the needs of consumers will ensure that they stay in store."
"b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key'",205,0.4,1,0.133,"(No subject)",0,"zebra",1,0,0,0,5,"For e, when retailers launched their Click & Collect service and located it within the store, it failed because consumers didnt want to go into the store to just pick up shopping."
"b'http://blogs.zebra.com/all-hail-the-consumer-why-convenience-is-key'",214,0.4,1,0.155,"['difficulties', 'you']",2,"zebra",1,0,0,0,5,";What are the difficulties that you face when bowing down to your customers?"
"b'http://blogs.zebra.com/amazon-dash-fad-or-future'",219,0.4,1,0.073,"Dash buttons",1,"zebra",1,0,0,0,5,"Amazons new Dash buttons can sort your needs at quite literally the touch of a button."
"b'http://blogs.zebra.com/amazon-dash-fad-or-future'",222,0,0,0,"['Amazon Dash', 'you']",2,"zebra",1,0,0,1,4,"Well, Amazon Dash is a small Wi-Fi connected electronic button device that allows you to re-order your favourite products in an instant."
"b'http://blogs.zebra.com/amazon-dash-fad-or-future'",231,0.4,1,0.215,"['you', 'coffee']",2,"zebra",1,0,0,0,5,"That moment you reach the aisle, look up and find an ominous gap where your favourite coffee should be is particularly disheartening."
"b'http://blogs.zebra.com/amazon-dash-fad-or-future'",233,0.4,1,0.158,"['we', 'doubt retailers', 'e', 'we']",4,"zebra",1,0,0,2,6,";As we move into the future, theres no doubt retailers will look to offer a frictionless shopping e of their own, and further simplify the way we buy in-store."
"b'http://blogs.zebra.com/amazon-dash-fad-or-future'",236,0.4,0,0,"['customers', 'Tesco', 'frictionless shopping e. Customers']",3,"zebra",1,0,0,1,4,"Allowing customers to connect platforms and create action based triggers, Tesco are providing the tools necessary to enable a fully customisable frictionless shopping e. Customers with the right know-how can now set up their own algorithms to ensure products are automatically ordered when certain circumstances are met."
"b'http://blogs.zebra.com/amazon-dash-fad-or-future'",238,0.4,1,0.071,"['surprise retailers', 'inconveniences']",2,"zebra",1,0,0,0,5,";Its really no surprise retailers are looking to achieve a frictionless shopping e. With common inconveniences removed, the act of buying will be simplified even further and this intern should drive repeat custom."
"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",255,0,0,0,"['we']",1,"zebra",1,0,0,1,4,"; So if Wi-Fi has now become commodity, does this mean that the same Wi-Fi technology that we use at home can be used in business environments as well?"
"b'http://blogs.zebra.com/author/patrick-groot-nuelend'",256,0.2,0,0,"['we', 'Access Point']",2,"zebra",1,0,0,1,4,"Not e. Even though we have standards for Wi-Fi products, which guarantee that an Access Point from vendor X works with a tablet from vendor Y, there are some important differences between products that are designed for personal use (or SOHO, Small Office / Home Office) and Enterprise Class solutions."
"b'http://blogs.zebra.com/big-data-and-the-retail-industry'",264,0.4,1,0.227,"world",1,"zebra",1,0,0,0,5,"b' ; November 14, 2016 at 7:00 AM ;Theres no doubt about it, the world of retail has evolved."
"b'http://blogs.zebra.com/big-data-and-the-retail-industry'",272,0.4,1,0.123,"['influences', 'I']",2,"zebra",1,0,0,0,5,"The influences were there, hiding in plain sight, yet I, like most, had walked by them, wilfully unaware of the data working behind the scenes, driving us to spend."
"b'http://blogs.zebra.com/big-data-and-the-retail-industry'",279,0.2,1,0.061,"['data', 'infrastructure']",2,"zebra",1,0,0,0,5,";As big data in the retail industry develops the infrastructure necessary to collect further information, the record of our behaviours in store will be broken down in greater detail through beacons, video cameras, facial recognition, RFID tags, guest Wi-Fi and a whole host of other data capture points."
"b'http://blogs.zebra.com/big-data-and-the-retail-industry'",282,0.4,1,0.104,"['ads', 'attention']",2,"zebra",1,0,0,0,5,"Ill walk around as ads customised to my personal interests attempt to grab my attention probably popping up on my phone or a nearby screen."
"b'http://blogs.zebra.com/blog/bid/52555/Public-Safety-Suffering-eCitation-is-the-Perfect-Combatant'",287,0.2,1,0.079,"Public safety",1,"zebra",1,0,0,0,5,"b' ; April 13, 2011 at 7:43 AM ;Public safety will undoubtedly suffer; by Jim Palmer, head of the state police union of the Wisconsin Professional Police Association in wake of the potential non-e federal budget for the States eCitation program."
"b'http://blogs.zebra.com/blog/bid/52555/Public-Safety-Suffering-eCitation-is-the-Perfect-Combatant'",291,0.4,1,0.081,"(No subject)",0,"zebra",1,0,0,0,5,"This allows for officers and offices to electronically file citations versus the manually issuing and filing where citations can get lost in the shuffle of a busy day."
"b'http://blogs.zebra.com/blog/bid/52555/Public-Safety-Suffering-eCitation-is-the-Perfect-Combatant'",292,0.4,1,0.196,"(No subject)",0,"zebra",1,0,0,0,5,"It also cuts down on time spent filing and processing."
"b'http://blogs.zebra.com/blog/bid/52555/Public-Safety-Suffering-eCitation-is-the-Perfect-Combatant'",300,0.4,1,0.211,"(No subject)",0,"zebra",1,0,0,0,5,";Other states suffer the same potential fates to their eCitation systems as well."
"b'http://blogs.zebra.com/blog/bid/59489/5-Hot-Topics-in-Retail-Technology-2-Apple-s-iPad'",309,0.4,0,0,"['retailers']",1,"zebra",1,0,0,1,4,";According to the RIS, point-of-sale is the heart of the retail shopping e. With improved customer service as the main goal, retailers are using the iPad and related technology to boost customer touch time and promote a multichannel presence in the store."
"b'http://blogs.zebra.com/blog/bid/59489/5-Hot-Topics-in-Retail-Technology-2-Apple-s-iPad'",312,0.4,0,0,"['sales staff', 'customers']",2,"zebra",1,0,0,1,4,"On the spot, sales staff completes the sale, eliminating the need for customers to wait at the checkout line."
"b'http://blogs.zebra.com/blog/bid/59489/5-Hot-Topics-in-Retail-Technology-2-Apple-s-iPad'",314,0.4,0,0,"['applications', 'Things Remembered', 'customers', 'Delta airlines', 'passengers', 'customers', 'City Sports', 'sales associates', 'Pumas iPad stations', 'customers', 'Pumas iPad stations', 'Cosmopolitan Hotel', 'guests', 'iPad']",14,"zebra",1,0,0,4,4,"And the applications will only continue to e.; Things Remembered, a personalized gift store, uses the iPad as a self-service kiosk so customers can design their own gifts; Delta airlines installed iPads at its JFK terminal so passengers can pass the time with digital entertainment, order food and beverages; 4food in New York City distributes iPads to customers, allowing them to quickly browse menus, and customize their orders while at the table;City Sports uses iPads to allow customers to not only browse products, but also connect with local retailers, events, and other area services; As part of J.C. Penneys findmore campaign, sales associates use iPads to showcase full offerings of jewelry and other products beyond whats just in the store; Pumas iPad stations allow customers to design their own sneakers, right in the store; Cosmopolitan Hotel of Las Vegas installed iPads at the registration counter so guests can browse the hotels vast range of services;Its clear that the iPad, and other mobile POS technologies, are revolutionizing the retail e.Learn how ; powers the iPad and Zebra mobile printers to create a complete mobile POS solution, ;."
"b'http://blogs.zebra.com/building-relationships-through-data-connectivity'",325,0.2,0,0,"customers",1,"zebra",1,0,0,1,4,"Its about delivering the perfect e for the customer and what customers want is convenience."
"b'http://blogs.zebra.com/building-relationships-through-data-connectivity'",330,0.4,1,0.14,"investment",1,"zebra",1,0,0,0,5,";Done correctly, that investment has serious potential for return."
"b'http://blogs.zebra.com/building-relationships-through-data-connectivity'",332,0.2,0,0.026,"['it', 'connect customers', 'connect customers', 'retailers', 'it', 'connect customers', 'shoppers', 'products']",8,"zebra",1,0,0,3,4,"Well, as with all the best elements of retail, it has to start with the customer:;Guest Wi-Fi is the starting point, helping connect customers to key store data, allowing them to find the information they need to make an informed decision:;Understandably, many retailers hesitate to make it easier for customers to compare prices, the ; even allows shoppers to take a photo of an item in store and see similar products available via Amazon."
"b'http://blogs.zebra.com/building-relationships-through-data-connectivity'",335,0.4,0,0,"['we', 'customer shopping apps']",2,"zebra",1,0,0,1,4,";For this reason, we are seeing an upsurge in retailers adopting in-store customer shopping apps incorporating information, store maps and offers."
"b'http://blogs.zebra.com/building-relationships-through-data-connectivity'",338,0.4,0,0,"['retailers', 'customer']",2,"zebra",1,0,0,2,4,"This allows retailers to see something new what the customer looked at, but didnt buy."
"b'http://blogs.zebra.com/building-relationships-through-data-connectivity'",339,0.4,0,0,"customers",1,"zebra",1,0,0,1,4,"True customer level insight into every journey where customers opt-in."
"b'http://blogs.zebra.com/building-relationships-through-data-connectivity'",342,0.4,0,0,"['technologies', 'shoppers', 'customers']",3,"zebra",1,0,0,3,4,";These location-based technologies help shoppers find the right product and give retailers the insight to continually improve the customer e.;And making the customers journey easier, is the key to creating the e interactions and customer engagement required to build a relationship."
"b'http://blogs.zebra.com/field-service-gets-smart-an-interview-with-zebra-technologies'",354,0.4,1,0.217,"['you', 'machine']",2,"zebra",1,0,0,0,5,"And, by the way, if you ignore it, in about 3 weeks, the machine is going to stop working completely."
"b'http://blogs.zebra.com/field-service-gets-smart-an-interview-with-zebra-technologies'",359,0.4,0,0,"['manufacturers', 'service contracts customers']",2,"zebra",1,0,0,1,4,"The best part every decision is backed by concrete data so manufacturers arent wasting time focusing on areas that dont work or trying to sell service contracts customers dont need."
"b'http://blogs.zebra.com/field-service-gets-smart-an-interview-with-zebra-technologies'",360,0.6,1,0.149,"['Jim Hilton', 'manufacturers', 'it', 'businesses']",4,"zebra",0,1,0,3,6,"; Hilton says that manufacturers have been capturing data since the 80s but it was so difficult to get that many businesses didnt do anything with it."
"b'http://blogs.zebra.com/field-service-gets-smart-an-interview-with-zebra-technologies'",365,0.2,0,0.095,"Jim Hilton",1,"zebra",1,0,0,1,4,"For e, Hilton said, if theres a two week delay for service businesses to see insights from data, what good is that?"
"b'http://blogs.zebra.com/field-service-gets-smart-an-interview-with-zebra-technologies'",367,0.6,1,0.119,"['It', 'you', 'you']",3,"zebra",0,1,0,0,5,"It allows you to see critical data at a time when you can still do something with the information."
"b'http://blogs.zebra.com/how-can-retailers-harness-mobile-technology-effectively'",377,0.4,0,0.113,"['I', 'retailers', 'retailers']",3,"zebra",1,0,0,2,4,";I am pleased to see that retailers are beginning to capitalise on the phenomenon of reverse showrooming; by perfecting the integration between offline and digital channels, retailers are beating e-commerce competitors on convenience."
"b'http://blogs.zebra.com/how-can-retailers-harness-mobile-technology-effectively'",380,0.4,0,0,"['brands', 'us', 'retailers']",3,"zebra",1,0,0,3,4,";We as customers are inundated with communications from brands and with their being little incentive for us to remain loyal, retailers need to find new ways to use loyalty schemes to build strong customer relationships."
"b'http://blogs.zebra.com/how-can-retailers-harness-mobile-technology-effectively'",386,0.4,0,0,"['technology', 'we', 'consumers']",3,"zebra",1,0,0,2,4,";All in all, mobile technology is already playing a key role in the development of retail and will only become more integral both to the sector and the way we as consumers wish to shop in the future."
"b'http://blogs.zebra.com/how-can-retailers-harness-mobile-technology-effectively'",387,0.2,0,0.071,"['devices', 'threat', 'it']",3,"zebra",1,0,0,1,4,"As sales processes are automated mobile devices will become essential, the threat of showrooming will have to be reversed through the use of mobile technology and customer loyalty will need to be far more timely and location based as it too becomes mobile."
"b'http://blogs.zebra.com/ios-8-impact-on-locationing-analytics'",397,0,0,0,"['customer', 'customer device']",2,"zebra",1,0,0,1,4,"If the customer has the brand app on their device and is registered to automatically connect to the business Wi-Fi, their device will automatically connect."
"b'http://blogs.zebra.com/ios-8-impact-on-locationing-analytics'",399,0.2,0,0,"['customer', 'analytics platform']",2,"zebra",1,0,0,2,4,";If the registered customer has chosen not to automatically connect to the Wi-Fi, but Wi-Fi is enabled, the analytics platform can still associate the device MAC address to the customer."
"b'http://blogs.zebra.com/ios-8-impact-on-locationing-analytics'",400,0.4,0,0,"customer",1,"zebra",1,0,0,1,4,"In this scenario, a message may be sent through the app via LTE unless the customer has opted out of push notifications."
"b'http://blogs.zebra.com/ios-8-impact-on-locationing-analytics'",401,0.2,1,0.081,"(No subject)",0,"zebra",1,0,0,0,5,";In the case of unregistered mobile customers with no app installed, customers that have their Wi-Fi enabled will broadcast their MAC addresses via the Probe Requests."
"b'http://blogs.zebra.com/ios-8-impact-on-locationing-analytics'",406,0.2,0,0,"['use', 'device']",2,"zebra",1,0,0,1,4,"The use of random MAC addresses could potentially affect analytics, especially if one device could broadcast many different MAC addresses, virtually looking like many different devices."
"b'http://blogs.zebra.com/loyalty-how-retail-analytics-makes-us-more-human'",411,0.6,1,0.066,"['A report', '%']",2,"zebra",0,1,0,0,5,"b"" ; September 2, 2015 at 4:51 AM ;A report on personalisation from Drapers and Retail Week says that 79% of customers are increasingly demanding a personalised approach from retailers."
"b'http://blogs.zebra.com/loyalty-how-retail-analytics-makes-us-more-human'",419,0.4,0,0,"['we', 'we', 'we', 'we']",4,"zebra",1,0,0,4,4,"We understand that if we give information to retailers about our tastes and preferences, we're more likely to be offered choices that are relevant and valuable."
"b'http://blogs.zebra.com/loyalty-how-retail-analytics-makes-us-more-human'",420,0.4,1,0.327,"['danger', 'personalisation']",2,"zebra",1,0,0,0,5,";The danger is that personalisation turns into intrusion."
"b'http://blogs.zebra.com/loyalty-how-retail-analytics-makes-us-more-human'",423,0.4,1,0.149,"It",1,"zebra",1,0,0,0,5,";It's about balancing attentive, personalised service against the risk of becoming a pestering nuisance."
"b'http://blogs.zebra.com/loyalty-how-retail-analytics-makes-us-more-human'",431,0.4,1,0.156,"(No subject)",0,"zebra",1,0,0,0,5,"You know the kind; they always seem to call at the most inconvenient time, or persuade you to borrow DVDs you have no intention of watching."
"b'http://blogs.zebra.com/loyalty-how-retail-analytics-makes-us-more-human'",435,0.4,0,0,"['Store', 'retailers', 'customer']",3,"zebra",1,0,0,2,4,";One Store allows retailers to capture data from multiple channels and gain a full understanding of how each individual customer interacts with them."
"b'http://blogs.zebra.com/loyalty-how-retail-analytics-makes-us-more-human'",440,0.4,0,0,"['e', 'member']",2,"zebra",1,0,0,1,4,";Perhaps the ultimate personalised e would be for a member of staff to be there in the aisle and welcome me by name, inviting me to take up the offer."
"b'http://blogs.zebra.com/oem-technology-the-smarter-kitchen'",446,0.2,0,0,"['we', 'you']",2,"zebra",1,0,0,1,4,";But we see a future where bar code scanning plays a role not just in the ingredients you bring home to your kitchen, but in the preparation of the meal itself."
"b'http://blogs.zebra.com/oem-technology-the-smarter-kitchen'",460,0.4,1,0.253,"['bar code', 'recipe book']",2,"zebra",1,0,0,0,5,"A bar code can make the recipe book obsolete and turn the most incapable cook into a master chef."
"b'http://blogs.zebra.com/oem-technology-the-smarter-kitchen'",461,0.2,0,0,"we",1,"zebra",1,0,0,1,4,";From smart coffee makers to smart refrigerators to smart ovens, we see unlimited possibilities to unleash technology for the power of the cooking."
"b'http://blogs.zebra.com/oem-technology-the-smarter-kitchen'",462,0.4,0,0,"company",1,"zebra",1,0,0,1,4,";If your company is an innovator or disruptor in smart kitchen and culinary technologies, consider Zebra as your OEM partner."
"b'http://blogs.zebra.com/offering-the-best-wi-fi-service'",465,0.2,0,0,"['business']",1,"zebra",1,0,0,1,4,"b' ; September 28, 2016 at 12:00 PM ;Wi-Fi is one of those things that a business simply cannot have enough of: whether its running applications on professional mobile devices or offering free public access to customers, from the hotel, to retail store, to warehouse, ; is a must-have with employees and guests relying on fast and uninterrupted services."
"b'http://blogs.zebra.com/offering-the-best-wi-fi-service'",466,0,1,0.093,"['business']",1,"zebra",1,0,0,1,6,";, a French business that specialises in car maintenance, car accessories and car parts, recently faced a common issue met by many businesses: its Wi-Fi was failing to cope with the demands placed on it."
"b'http://blogs.zebra.com/offering-the-best-wi-fi-service'",467,0,0,0,"['employees']",1,"zebra",1,0,0,1,4,"These included the use of more apps, the need for employees to access Wi-Fi in its car parks and the requirements of customers who wanted to surf the web or catch up on emails while waiting for their cars."
"b'http://blogs.zebra.com/offering-the-best-wi-fi-service'",475,0.2,0,0,"Customers",1,"zebra",1,0,0,1,4,"Customers can access guest ; using their own devices or the touch screens in Norautos parts shops."
"b'http://blogs.zebra.com/slow-wireless-makes-for-slow-business-its-time-to-rethink'",483,0.4,1,0.082,"(No subject)",0,"zebra",1,0,0,0,5,";In this case, its likely that millions of businesses will be thinking seriously about making a change to their wireless networks."
"b'http://blogs.zebra.com/slow-wireless-makes-for-slow-business-its-time-to-rethink'",484,0.2,1,0.064,"['network']",1,"zebra",1,0,0,0,5,"Because any wireless network thats more than three years old is probably not up to the job of meeting todays demand for connectivity."
"b'http://blogs.zebra.com/slow-wireless-makes-for-slow-business-its-time-to-rethink'",486,0.6,1,0.049,"['We']",1,"zebra",0,1,0,1,6,"We had the launch of the first iPad while still awestruck by the iPhone 3GS, neither of which are much use today as serious business tools."
"b'http://blogs.zebra.com/slow-wireless-makes-for-slow-business-its-time-to-rethink'",495,0.2,1,0.157,"['you', 'team', 'devices', 'you', 'team']",5,"zebra",1,0,0,3,6,";So if you and your team are getting frustrated with slow-responding business applications, or failed phone or video calls, its likely that the devices and applications youre using are asking more from your network than it can handle."
"b'http://blogs.zebra.com/slow-wireless-makes-for-slow-business-its-time-to-rethink'",497,0.4,1,0.272,"(No subject)",0,"zebra",1,0,0,0,5,";But, as always with technology, new doesnt always mean best."
"b'http://blogs.zebra.com/the-business-case-for-hotel-wi-fi'",516,0.4,1,0.124,"['problem']",1,"zebra",1,0,0,0,5,";The problem is that 3G and 4G coverage is often patchy, especially within larger buildings, or in more remote locations."
"b'http://blogs.zebra.com/the-business-case-for-hotel-wi-fi'",518,0.2,0,0,"['sight', 'we']",2,"zebra",1,0,0,1,4,";Even without statistics to make the case, the sight of so many people using smartphones shows just how much we rely on our mobile devices."
"b'http://blogs.zebra.com/the-business-case-for-hotel-wi-fi'",519,0.4,1,0.155,"you",1,"zebra",1,0,0,0,5,"After all, how do you feel when there's no coverage for your smartphone?"
"b'http://blogs.zebra.com/the-business-case-for-hotel-wi-fi'",521,0.2,1,0.082,"['Zebra customers']",1,"zebra",1,0,0,0,5,";But Zebra customers have found that reliable Wi-Fi is more than just a way of stopping guests getting fed up."
"b'http://blogs.zebra.com/the-business-case-for-hotel-wi-fi'",523,0,1,0.333,"(No subject)",0,"zebra",1,0,0,0,5,";Offering Wi-Fi alone isnt enough."
"b'http://blogs.zebra.com/the-business-case-for-hotel-wi-fi'",525,0.2,1,0.247,"['service', 'e']",2,"zebra",1,0,0,0,5,"A poor Wi-Fi service is almost worse than none at all, because the e doesn't match guest e.;Lets get technical for a moment."
"b'http://blogs.zebra.com/the-business-case-for-hotel-wi-fi'",526,0,1,0.095,"['challenge']",1,"zebra",1,0,0,0,5,"The challenge for hotels is the particular demand that guest Wi-Fi places on the network."
"b'http://blogs.zebra.com/the-business-case-for-hotel-wi-fi'",527,0.2,1,0.075,"['Computer networks', 'guests', 'wireless system']",3,"zebra",1,0,0,0,5,"Computer networks don't like change, and with guests moving around and coming and going, the wireless system has to cope with a constant stream of connections and disconnections."
"b'http://blogs.zebra.com/the-business-case-for-hotel-wi-fi'",535,0.6,1,0.138,"(No subject)",0,"zebra",0,1,0,0,5,";Business guests attending conferences can focus on their work, rather than worrying about the technology involved."
"b'http://blogs.zebra.com/topic/location-solutions'",553,0.4,0,0,"brands",1,"zebra",1,0,0,1,4,"All major brands in retail, hospitality and airports are connecting with shoppers, guest and visitors through their devices, delivering a personalized e using location based services."
"b'http://blogs.zebra.com/topic/location-solutions'",558,0.2,1,0.182,"(No subject)",0,"zebra",1,0,0,0,5,";Customers are often thought to be driven by price alone."
"b'http://connect.blogs.xerox.com/2017/05/10/brother-dominics-miracle-is-no-1/'",594,0.4,1,0.099,"it",1,"xerox",1,0,0,0,5,"With a total of 9.6 million video views to-date on YouTube, Facebook and Twitter it is our new record as the No."
"b'http://connect.blogs.xerox.com/2017/05/10/brother-dominics-miracle-is-no-1/'",598,0.4,0,0,"['Brother Dominic', 'page']",2,"xerox",1,0,0,1,4,"Brother Dominic sets the page free and helps @Xerox snag two awards."
"b'http://connect.blogs.xerox.com/2017/05/10/brother-dominics-miracle-is-no-1/'",622,0.4,0,0,"Brother Dominic",1,"xerox",1,0,0,1,4,"me with suspenseful anticipation about what Brother Dominic and Xerox would be doing forty years from now!"
"b'http://global-sei.com/company/press/2015/12/prs094.html'",641,0.4,0,0,"['ISP Plala', 'ISP Plala']",2,"global-sei",1,0,0,2,4,"ISP Plala offers a wide range of broadband services and internet speeds, based on optical fiber and ADSL, and it employs e robust security methods to ensure safe and secure home-based internet connections."
"b'http://global-sei.com/company/press/2015/12/prs094.html'",646,0.4,0,0,"ISP Plala",1,"global-sei",1,0,0,1,4,"It reported group net sales of 2,822,811 million yen (23.5 billion US dollars) for the fiscal year ended March 2015.'"
"b'http://global-sei.com/company/press/2017/03/prs028.html'",648,0.2,0,0,"Sumitomo Electric",1,"global-sei",1,0,0,1,4,"With a new generation of high-capacity equipment coming to market, Sumitomo Electric will be ready to deliver hi speed optical 100G optical solutions."
"b'http://global-sei.com/company/press/2017/03/prs028.html'",654,0.4,1,0.085,"QSFP28 ER4 Lite",1,"global-sei",1,0,0,0,5,"The QSFP28 ER4 Lite replaces the SOA and PIN with an avalanche photo diode (APD) and e forward error correction to reduce the power consumption while maintaining the optical link budget."
