"sent_seq_id","gold_sent","X.AUTHID","row_id","count","binLabelScr","WhetherNeg","NegScr","target_entities","target_ent_size","spec_domain","binScrLevel0","binScrLevel1","binScrLevel2","whetherCentral","sent_rec_scr"
4309,"MEDINA, Ohio, Dec. 23 /PRNewswire-FirstCall/ - RPM International Inc. (NYSE: RPM) today announced it will release its fiscal 2003 second-quarter and first-half results after the market closes on Thursday, January 9","b'http://www.rpminc.com/news-releases/news-release/?reqid=476683'",2,5,0.6,0,0,"(No subject)",0,"rpminc",0,1,0,0,1
4337,"The call, which last appro one hour, will be open to the public, but only analysts will be permitted to ask questions. The media and all participants will be in a listen-only mode.","b'http://www.rpminc.com/news-releases/news-release/?reqid=688001'",3,6,0.4,0,0,"[]",0,"rpminc",1,0,0,0,2
4353,"Shell CEO Ben van Beurden reflects on thecourage and determination shown by all those caught in the trail of Harvey\'s devastation.","b'http://www.shell.com/media/speeches-and-articles/articles-by-date/why-im-left-humbled-by-hurricane-harvey.html'",4,5,0.4,1,0.114,"b'Shell CEO Ben van Beurden",1,"shell",1,0,0,0,5
4395,"Each of the series of products incorporates the following technology specifications to ensure optimal on-field performance during the game or practice:;The """"Click-Clack"""" campaign began nearly a year ago during Under Armours renowned PROTECT THIS HOUSE television advertising campaign where viewers got a first glimpse of what was to come from Under Armour with the sound of cleats on concrete leading onto a football field.","b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=195603'",5,6,0.4,0,0,"['campaign', 'viewers']",2,"uabiz",1,0,0,0,2
4406,"MD (November 16, 2006) Under Armour, Inc. (NASDAQ: UARM), a leading developer, marketer and distributor of branded performance apparel, footwear and accessories, today announced that it has filed an application to list its securities on the New York Stock E (NYSE).","b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=218849'",6,5,0.6,0,0,"(No subject)",0,"uabiz",0,1,0,0,1
4435,"The Under Armour global headquarters is in Baltimore, Maryland, with European headquarters in Amsterdam\'s Olympic Stadium, and additional offices in Denver, Hong Kong, Toronto, and Guangzhou, China.","b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=327270'",7,6,0.4,0,0,"headquarters",1,"uabiz",1,0,0,1,4
4451,";Under Armour also has established the role of Chief Performance Officer, appointing Under Armour Board member Chip Adams to this new e position with primary responsibility for the development of company-wide business strategy and organizational alignment and processes.","b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=603418'",8,6,0.4,0,0,"(No subject)",0,"uabiz",1,0,0,0,2
4468,"By signing a separate deal, Under Armour can feature some of the federation athletes for brand campaigns and events.","b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=923595'",9,6,0.4,0,0,"(No subject)",0,"uabiz",1,0,0,0,2
4492,"During his time at Under Armour, Brad has played an integral role in providing value for the company by building a strong team and demonstrating a core competency of accelerating growth, taking the company from pre-IPO to a multi-billion dollar global business.","b'http://www.uabiz.com/news/releasedetail.cfm?releaseid=936248'",10,6,0.4,0,0,"him",1,"uabiz",1,0,0,0,2
4511,"We are e to be home to the company\'s newest operations and look forward to building upon our partnership.","b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=945947'",11,6,0.4,0,0,"our",1,"uabiz",1,0,0,1,4
4526,"Thank you, Mother Nature! This season we got a battle of epic flavor featuring two of our favorite citrus superstars Satsuma v Clementine and we need your help to pick the season champion.","b'http://www.wholefoodsmarket.com/blog/everybody-wins-citrus-showdown'",12,6,0.8,0,0.074,"['we', 'we']",2,"wholefoodsmarket",0,0,1,2,0
4574,"Whisk sesame oil and vinegar until combined and add to kale mi. Stir well and top with sprouts, fennel and sunflower seeds. Mung bean sprouts are the most popular sprout on the planet try these other great recipes featuring mung bean sprouts: , , & Three lucky winners will receive a sprouting lid and 3 varieties of organic, Non-GMO Project verified planting and sprouting seeds from High Mowing Organic Seeds.","b'http://www.wholefoodsmarket.com/blog/simple-summer-sprouts-giveaway'",13,6,0.8,0,0,"(No subject)",0,"wholefoodsmarket",0,0,1,0,0
4604,"I found the secret to Fran success can be boiled down to the highest quality ingredients; unwavering attention to detail with a focus on taste; and hiring and nurturing a talented team.","b'http://www.wholefoodsmarket.com/blog/whole-story/frans-chocolates'",14,6,0.8,0,0,"I",1,"wholefoodsmarket",0,0,1,0,0
4629,"Their products combine grade AA butter with all natural flavors, producing a high quality, unique product that makes cooking a joy for the novice and advanced chef alike.","b'http://www.wholefoodsmarket.com/blog/whole-story/local-producer-epicurean-butter'",15,6,0.8,0,0,"(No subject)",0,"wholefoodsmarket",0,0,1,0,0
4648,"Traditionally prepared by cooking Basmati rice with succulent chunks of chicken, cashews and raisins infused with an unmistakable blend of enticing spices, aromas and flavors, including a pinch of saffron salt.","b'http://www.wholefoodsmarket.com/blog/whole-story/what-halal-about'",16,6,1,0,0,"(No subject)",0,"wholefoodsmarket",0,0,1,0,0
