X.AUTHID,anger_doc_sum,anticipation_doc_sum,arousal_doc_sum,disgust_doc_sum,dominance_doc_sum,fear_doc_sum,joy_doc_sum,neg_doc_sum,num_text_words,pos_doc_sum,sad_doc_sum,site.content,spec_domain,surp_doc_sum,trust_doc_sum,valence_doc_sum,bin_label_scr,rank_label_scr,cSIN_tag,cEXC_tag,cCOM_tag,cRUG_tag,cSOP_tag,cSIN_scl_scr,cEXC_scl_scr,cCOM_scl_scr,cRUG_scl_scr,cSOP_scl_scr,content_length,stopword_count,stopword_ratio,flesch_read_ease,cSIN_label_fin,cEXC_label_fin,cCOM_label_fin,cRUG_label_fin,cSOP_label_fin,cSIN_fin_rank,cEXC_fin_rank,cCOM_fin_rank,cRUG_fin_rank,cSOP_fin_rank
b'https://atyourservice.blogs.xerox.com/author/cherylo23/page/2/',1,3,18.785,1,26.395,1,2,2,132,8,1,"b'Email By Today I am sharing with you a blog article from the Xerox blog, Xerox Connect. The article is one in a series of Modern Workplace articles By My homage to Dorothy. As Dorothy from the Wizard of Oz said, , I a feeling we not in Kansas anymore. not Kansas, we are living By Several new Xerox VersaLink printers and multifunction printers (MFP) have been introduced lately, specifically the VersaLink C7000-7020-25-30 and VersaLink B7025-35 and the VersaLink C500-C505-C600-C605. These new By There are many reward programs available these days from airlines to grocery stores. We have a great one for you. It is called the Genuine Xerox By The paperless office is still a thing of the future since it is estimated that the average office worker uses 10,000 sheets of copy paper each Select list(s): Cheryl Otstott says: Cheryl Otstott says: Cheryl Otstott says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,3,7,30.803,0.3,NA,n,y,n,n,n,-0.0393225649,0.0080693854,-0.0074184574,-0.0561688611,-0.0037541747,1084,73,6.7343173432,57.5,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://atyourservice.blogs.xerox.com/category/printing/page/5/',0,4,28.075,0,36.684,1,2,1,132,8,1,"b'Printing ideas XMPie are software solutions for some of today marketing challenges. XMPie features the ability to create personalized marketing campaigns across several channels print, Web, email, We are revisiting AirPrint because of the release of a new video that will walk you through the simple steps to enable AirPrint on your Xerox Happy New Year! New Year, New Start! I always feel like the New Year is a new beginning. I plan to do things differently and more Do you have print jobs that you use frequently? Did you know that you can store print jobs on your printer or multifunction device to be Image quality issues can be caused by different things. Finding what may be causing the problem you first need to determine what process you are using Select list(s): Cheryl Otstott says: Cheryl Otstott says: Cheryl Otstott says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,1,5,41.897,0.3,NA,n,y,n,n,n,-0.063717885,0.005652255,-0.0390491522,-0.0551254494,-0.003746528,1051,66,6.2797335871,60.45,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://blog.fitbit.com/sitting-hurts-fitbit-data-suggests-you-should-move-more-often/',1,8,26.359,1,33.181,5,4,4,132,8,1,"b'; Comments numbers are pretty sad for the U.S.;Is there any way those of us with different Fitbit models can set up an alarm like the Alta? It is way too easy to get sucked into completing a project at work and not realize how long you have been sitting for. A buzz for the hours when I havent reached the 250 steps at say the 45 min mark would be great reminder and help get me in the habit. Have tried to use If This Then That app to do just that, but it hasnt worked yet either.;Good article I have a fitbit charge hr and set the alarm to tell me to move.;My fitbitfle needs the iPad to see the number of steps Ive taken. Do they have a band that tells you right on the watch face; let me knowdonna;indeed! the chart looks terrible;Is there a way to see how many hours a day you sit with the fitbit data output?; ; ; Please note: Comments are moderated and may not appear immediately after submission. ;Your email address will not be published. Required fields are marked ; ; ; ; your success story with Fitbit. '",fitbit,3,3,36.893,0.2,-0.25,y,n,n,n,n,0.0045867032,-0.0078599593,-0.0111731216,-0.0569123441,-0.0030244287,1018,95,9.3320235756,64.38,n,y,n,y,y,4,3,5,1,2
b'https://atyourservice.blogs.xerox.com/category/features/page/6/',0,3,22.98,0,31.961,0,4,0,134,11,0,"b' There are some new printers in town. These printers are the Xerox VersaLink C400 Printer and the VersaLink B400 Printer. VersaLink C400 is a color What old is new again. Some 40 years ago Brother Dominic performed the miracle of copying a multiple page document, returning 500 sets of the document Let look at the Xerox ConnectKey for SharePoint. The ConnectKey for SharePoint helps you share all those paper documents in a digital format that will allow I would like to share with you a couple of tools that can help to increase your productivity by helping you understand the driver properties and XMPie are software solutions for some of today marketing challenges. XMPie features the ability to create personalized marketing campaigns across several channels print, Web, email, Select list(s): Cheryl Otstott says: Cheryl Otstott says: Cheryl Otstott says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,1,7,35.872,0.3,NA,n,y,n,n,n,-0.0476710242,0.0051386326,-0.0116049162,-0.0567888251,-0.0004782301,1077,62,5.756731662,58.21,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://atyourservice.blogs.xerox.com/category/support-tools/page/4/',0,2,24.387,0,34.942,0,1,0,134,9,0,b' Spend more time on your work and less time managing your Xerox devices. With Xerox Remote Print Services you can manage your Xerox printers with minimal How would you like your Xerox support? Sounds like we are ordering eggs at a hometown caf But really you can have your support your way. I love those little Memory sticks or USB drives. Whatever you call them they are so handy and make data portable and easily accessible. Did you Have questions about how to use the Xerox Standard Accounting (XSA) with your Xerox printer or multifunction printer with your Apple Mac? Make sure you have This doesn seem like the correct charge for my Xerox device usage that meter read is not even close. like my Bill was estimated! Sound familiar? Select list(s): Cheryl Otstott says: Cheryl Otstott says: Cheryl Otstott says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.',xerox,0,5,38,0.3,NA,n,y,n,n,n,-0.0698315025,0.0185063756,-0.0247213977,-0.0570635107,-0.0029778411,1032,67,6.492248062,62.38,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://atyourservice.blogs.xerox.com/category/general-information/page/5/',1,5,22.92,1,33.564,1,0,1,136,9,1,"b'General information Tomorrow April 22nd is Earth Day! As we have said for years, every day is Earth Day at Xerox. Xerox has been committed to sustainability and Spend more time on your work and less time managing your Xerox devices. With Xerox Remote Print Services you can manage your Xerox printers with minimal This doesn seem like the correct charge for my Xerox device usage; that meter read is not even close. like my Bill was estimated! Sound familiar? It that time again, time to Spring forward on the clocks. This Sunday March 12, 2017 is the day we lose an hour of sleep to There are some new printers in town. These printers are the Xerox VersaLink C400 Printer and the VersaLink B400 Printer. VersaLink C400 is a color Select list(s): Cheryl Otstott says: Cheryl Otstott says: Cheryl Otstott says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,1,6,38.541,0.3,NA,n,y,n,n,n,-0.0260087333,0.0063128832,-0.0007028191,-0.0550234794,-0.003913236,1025,65,6.3414634146,70.84,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://atyourservice.blogs.xerox.com/page/9/',1,4,23.447,1,33.17,1,2,1,136,10,0,"b'Tomorrow April 22nd is Earth Day! As we have said for years, every day is Earth Day at Xerox. Xerox has been committed to sustainability and Stop the presses! The new Versant Presses are here! The Xerox Versant 180, Versant 180 Performance Package and Versant 3100 Presses are printers with output and Color, it can attract, influence, and even increase retention. a powerful tool for any business. The way you present your company ideas with the use of Spend more time on your work and less time managing your Xerox devices. With Xerox Remote Print Services you can manage your Xerox printers with minimal How would you like your Xerox support? Sounds like we are ordering eggs at a hometown caf But really you can have your support your way. Select list(s): Cheryl Otstott says: Cheryl Otstott says: Cheryl Otstott says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,1,7,35.383,0.3,NA,n,y,n,n,n,-0.0462065052,0.0068638196,-0.0120834104,-0.0554218131,-0.0013008689,1038,65,6.2620423892,64.1,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://atyourservice.blogs.xerox.com/category/support-tools/page/7/',0,4,24.12,0,32.894,0,3,0,137,9,0,"b' I would like to share with you a couple of tools that can help to increase your productivity by helping you understand the driver properties and XMPie are software solutions for some of today marketing challenges. XMPie features the ability to create personalized marketing campaigns across several channels print, Web, email, Did you know that Xerox has many applications (apps) available for the Xerox printers and multifunction machines? I am sure you have seen or heard of Have you upgraded your firmware lately? Ok I know some of you are asking what firmware? I have firmware? Yes your Xerox printer or multifunction device Happy New Year! New Year, New Start! I always feel like the New Year is a new beginning. I plan to do things differently and more Select list(s): Cheryl Otstott says: Cheryl Otstott says: Cheryl Otstott says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,1,5,37.096,0.3,NA,n,y,n,n,n,-0.0642379222,0.0027682717,-0.02095335,-0.0547837066,-0.002630786,1054,65,6.1669829222,64.1,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://connect.blogs.xerox.com/author/laurie-riedman/',1,1,26.81,0,36.706,1,0,3,137,12,0,"b'Writer and PR Consultant Email LinkedIn Twitter Laurie Riedman is a geek at heart and loves working with Xerox scientists around the globe. She writes news releases, blog posts and conducts media relations for high technology companies including Xerox from her home office nestled in the Finger Lakes of New York. By Databases contain biased information. Xerox data scientists consider algorithms that can prevent biased analytics. By sessions with our customers help Xerox transform into a services company. By How the three types of data analytics can help us make sense of the world and predict our future By Xerox imaging e is no longer the private domain of copiers; we using it to make your commute quicker and safer. By Data analytics e at Xerox were recognized for innovation that helps cities manage parking better, and ease drivers frustration. Select list(s): Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,0,4,39.708,0.3,NA,n,y,n,n,n,-0.0257309674,0.0273904564,-0.0042528462,-0.0613636218,-0.007065831,1086,58,5.3406998158,53.92,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://enterprisematters.blogs.xerox.com/author/guestcontributor/page/4/',1,2,22.154,1,31.23,1,0,4,137,8,1,"b'Email By I not a search engine optimization (SEO) e. Not even close. But I always tried to maintain at least a modest baseline-knowledge of SEO best-practices because I By Consumerization of IT is here in full force, and it not going away. time complaining about consumerization and how managing employee-owned devices is such a huge By With the glut of marketing data available, it easy to understand why decision makers feel overwhelmed and too time-constrained to e the most effective method(s) of By Todd Smith, Xerox Corp. Can you imagine a world and workplace without smartphones? How about keyboards and mice? CIO.com posted a slideshow about eight business and consumer By By Don Di, senior vice president, Global Document Outsourcing, Xerox There no question the workplace is changing in fact, it not really a place at all Select list(s): Leslie Long says: Christina G Bolin says: Christina G Bolin says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,0,8,30.748,0.3,NA,n,y,n,n,n,-0.0431165037,0.001416302,-0.0296683506,-0.0550686348,-0.0074766688,1129,76,6.7316209035,56.79,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://www.citrix.com/blogs/2017/05/17/citrix-cloud-at-synergy-dont-take-my-word-for-it/',1,3,19.892,1,24.071,2,1,3,138,11,2,"b""Join me! Ill be hosting a unique set of customersat ;, SYN109, (Wednesday May 24, 4:45pm) where well have a discussion and audience-driven Q&A with 4 Citrix Cloud customers:;Well cut the marketing fluff. No speeds and feeds. Just candid, matter-of-fact discussions about:;Ken is Sr. Director of Product Marketing in Citrix's Cloud Services group, and spends most of his time helping lead the charge to converge concepts of cloud computing, virtual workspaces, and hosted service providers. You can also find Ken on Twitter as @fountnhead; Weve seen increasing traction for NetScaler in customer deployments as they migrate to the cloud. One of the key differentiators ; Citrix VP of WW Sales and Strategy, Ash Vijayakanthan shares his thoughts on the benefits Citrix Cloud brings for Citrix Service Providers ; NetScaler Management and Analytics from Citrix allows administrators to easily view, automate, and manage all their application infrastructure, as well ;Dont worry, you can unsubscribe at anytime.; ;""",citrix,2,4,27.467,0.2,-0.25,y,n,n,n,n,0.0008067501,-0.0148756141,-0.0048698567,-0.060316732,-0.0074167822,1013,54,5.3307008885,45.8,n,y,y,n,y,5,2,3,4,1
b'https://atyourservice.blogs.xerox.com/author/gigi-zakhary/',1,6,27.669,1,39.553,1,1,1,139,8,0,"b'Network Field Engineer By Xerox Remote Print Services a free and powerful Tool provided in all our Xerox products. It consists of Automatic Meter Reads, Automatic Supplies Replenishment and Remote By Ever think about automating all functions and tasks at your office? Here is a way to get your Xerox Devices automated; eliminating phone time. With Xerox By Spend more time on your work and less time managing your Xerox devices. With Xerox Remote Print Services you can manage your Xerox printers with minimal By This doesn seem like the correct charge for my Xerox device usage; that meter read is not even close. like my Bill was estimated! Sound familiar? By That not the correct date and time. When you look at your Xerox device and see the incorrect date and time; that could be the reason Select list(s): Cheryl Otstott says: Cheryl Otstott says: Cheryl Otstott says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,0,8,41.824,0.3,NA,n,y,n,n,n,-0.0537308638,0.0008069483,-0.024323325,-0.0599834457,-0.0041935576,1089,68,6.2442607897,59.64,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://smallbusinesssolutions.blogs.xerox.com/author/icbgguestblogger/page/2/',0,1,27.51,0,37.581,1,3,5,139,11,1,"b'Email By In a Small Business Solutions article published earlier this year ( Business New Year Resolution: Don Stop Emailing), I argued that email solicitations should remain an By If you like me, the term advertising is somewhat new to you. If you like lots of others, it totally foreign. Apparently we not alone in By As a follow-up to a recent post, Development: Becoming Comfortable with Discomfort to Increase Sales, I found another interesting networking-related article that discusses a new By It human nature to avoid uncomfortable situations. That true in our personal lives as well as in business. But as any successful small-business owner will attest, improving By The Phaser 7100 Color Printer has been awarded the Choice designation by PC Magazine. Overall, the review is very positive. Tony Hoffman gave the device an Select list(s): pius sumba says: TPM Best Practices says: azimmer says: Facebook Twitter LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,0,9,42.108,0.3,NA,n,y,n,n,n,-0.0463379154,0.0059559833,-0.0148549001,-0.0569767405,-0.0065311665,1110,68,6.1261261261,43.32,y,n,y,n,y,NA,NA,NA,NA,NA
b'https://enterprisematters.blogs.xerox.com/category/mobile-workforce/page/5/',1,7,25.245,0,34.415,1,0,2,140,9,1,"b' Sometimes we talk about mobile workers as if they were a subset of the overall employee population. Actually it more likely the other way around, with Every day brings a new statistic on how many workers don work in an office anymore. Seems mobile or virtual employees are pushing 40 percent of The need for security is pervasive across organizations, but means different things to different functions within an enterprise. The e suite and the legal team Supporting mobile workers is no longer an option, but it can still be a burden one that falls squarely on IT shoulders. Enterprise IT managers By Dan Stark, Offering Manager, Mobile Print, Xerox Corp. As enterprises face an increasingly mobile workforce, they struggle to adapt legacy document workflow to a mobile document Select list(s): Leslie Long says: Christina G Bolin says: Christina G Bolin says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation. All rights reserved. Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.'",xerox,0,8,35.631,0.3,NA,n,y,n,n,n,-0.0468932269,0.006262352,-0.0209009876,-0.0551258103,-0.0047851483,1077,61,5.6638811513,49.35,y,n,y,n,y,NA,NA,NA,NA,NA
