sents,LEAD,HYBRID,INCONS,INCONS_NEG,POL,CTR
"| | | | | ""Whole Foods Market"" is a registered trademark of Whole Foods Market IP, L.P. We have sent a confirmation email to {* emailAddressData *}.",0,1,0,0,0,1
";Kintex UltraScale FPGAs deliver up to 1.16M logic cells, 5,520 optimized DSP slices, 76 Mbits of block RAM, 16.3Gbps backplane-capable transceivers, PCIe; Gen3 hard blocks, integrated 100Gb/s Ethernet MAC and 150 Gb/s Interlaken IP Cores, and DDR4 memory interfaces operating at 2,400 Mb/s.",0,0,0,0,1,1
"Team pilots are WTCC 2012 champion Rob Huff, two-time British touring champion James Thompson and Russian Touring Championship Touring light class champion Mikhail Kozlovskiy.",0,1,1,1,1,1
";Moreover the Agreement envisages Rosneft sponsorship of the LADA SPORT ROSNEFT auto sports team, therefore the parties are aimed at building on the progress of LADA cars in the worlds and Russian Touring Championships by presenting a joint team at the WTCC (World Touring Car Championship) and Russian Circuit Racing Series starting from the year 2015.",0,0,0,0,0,1
"Personalized packaging cartons for models assembled with LEGO -style plastic bricks earned Printagraph of Aberdeen, U.K., the Best of Show award in the 2016 .",1,1,1,1,1,1
We have recently deployed a Zebra Technologies wireless network in the Park.,0,0,1,1,0,0
He also serves on board of the T. Rowe Price Mutual Funds and is a member of the Deutsche Bank Americas Regional Client Advisory Board.,1,0,0,0,0,0
"With the launch of PartnerConnect last year, Zebra is building on our commitment to making it easier for our partners to do business with us.",0,1,1,1,1,1
"Since Fran marks 30 years of producing one-of-a-kind sweets on June 1 of this year, I took a tour of their production kitchens with CEO Andrina Bigelow, Fran daughter, to learn just what makes them so special.",0,0,0,0,0,1
";Dec 18, 2014;, ; / -;Xilinx, Inc. (NASDAQ: XLNX) today announced that its Kinte UltraScale; KU040 FPGAs are now the industry\'s first 20nm device to move into volume production.",1,1,1,1,1,1
"The MFP also features a 5-inch, app-based, tablet-like touchscreen that offers scan preview, editing features, intuitive navigation and the ability to customize workflows.",0,1,1,1,0,0
Timing of repurchases and e number of shares of common stock to be purchased will depend upon prevailing market conditions and other factors.,1,0,0,0,0,0
"100 comments says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says says Get seasonal recipes, cooking tips, product highlights and coupons delivered to your inbox!",0,1,1,1,1,1
"In order to provide enhanced security and a mobile-optimized e, we will no longer be supporting this browser version.",1,0,0,0,0,0
"The amended credit facility includes more favorable interest rates, pricing, covenants and other improved terms.",1,0,0,0,0,0
"; RPM International Inc., a holding company, owns subsidiaries that are world leaders in specialty coatings serving both industrial and consumer markets.",0,1,1,1,1,1
"By applying our e in imaging, business process, analytics, automation and user-centric insights, we engineer the flow of work to provide greater productivity, efficiency and personalization.",0,1,0,0,1,1
 For the past four years the innovative sports performance brand Under Armour has been an official apparel supplier of the Austria Ski Team.,1,1,1,1,1,1
";Bill Abelson; Technologies;+1-631-738-4751; Turpin; Channel Company;+1-508-416-1195; DeRango; Technologies;+1-847-793-5896; and the stylized Zebra head are trademarks of ZIH Corp., registered in many jurisdictions worldwide.CRN is a registered trademark of The Channel Company, LLC.",0,1,1,1,1,1
";Working with OM-ID, a professional integrator and Zebra Technologies partner, Zebra WiNG architecture was installed to provide a quality Wi-Fi service based on the number of mobile clients in different areas in the central part of the park.",1,1,1,1,1,1
"""As our brand and our business become more global every day, raising Under Armour\'s visibility in the global financial markets becomes increasingly more important.",0,1,0,0,1,1
The kits are packaged in folded cartons that are printed on the and Presses and incorporate personalized images and messages.,1,0,0,0,0,0
"2014 Motorola Solutions, Inc. All rights reserved; Global; Retail; Solutions Launches; Locationing Solutions; Wireless LAN'",0,1,1,1,0,1
Is your steak feeling a little lonely?,0,0,1,1,1,0
printing off basic human survival checklists and advice to be ready for the very worst.,0,0,1,1,1,0
"The new CFO will report directly to Kevin Plank, Under Armour\'s founder and Chief E Officer.",0,1,1,1,1,1
"This successful partnership has been e for an additional two years, until May 31, 2017.",1,0,0,0,0,0
Customers can benefit from an estimated one year time to market advantage relative to its competition.,1,0,0,0,0,0
"The results will be issued via newswire and will also be available on the RPM website, at http:/www.rpminc.com .",1,0,0,0,0,0
"The Under Armour global headquarters is in Baltimore, Maryland, with European headquarters in Amsterdam\'s Olympic Stadium, and additional offices in Denver, Hong Kong, Toronto, and Guangzhou, China.",0,1,0,0,0,1
"The Xerox DocuMate 4799 is the flagship product of the Xerox DocuMate product line, and its versatility, high speed and superior reliability make it a popular scanner for demanding office environments.",0,1,1,1,1,1
"clicking through multiple sub-menus; we put 90 percent of the basic functions on the main screen, so anyone can click and move on to the ne task at hand.",0,1,1,0,0,1
"In the first year of trading, Under Armour shares have risen 85% from the closing price on the first day of trading.",0,0,1,1,0,1
"I\'m looking forward to our upcoming projects"", says Marcel Hirscher, a big fitness enthusiast and perfect fit for the brand.",0,1,1,1,1,1
Xerox (NYSE: XRX) has been named to the Dow Jones Sustainability World Index (DJSI World) for the first time and the Dow Jones Sustainability North America Index for the third consecutive year.,1,1,1,1,1,0
The amendment e the Company\'s e credit facility from ; and e the maturity from ; until ;.,1,0,0,0,0,0
";RPM International Inc. (NYSE: RPM) owns subsidiaries that are world leaders in coatings, sealants, building materials and related services.",0,1,1,1,1,1
"Global Premier Partner Network members represent the industry most innovative and forward-thinking digital printers, said , president of Global Graphic Communications Operations, Xerox Corporation.",0,0,1,1,0,0
" (NASDAQ: ZBRA), a global leader in providing solutions and services that give enterprises real-time visibility into their operations, today announced that ;, a brand of ;, has named Rita Koridek, Senior Director of Global Channel Operations to its prestigious 2017 Women of the Channel list.",1,1,0,0,1,1
"August 24, 2011;CORAL GABLES, Fla., Aug. 24, 2011 /PRNewswire via COMTEX/ -;MasTec, Inc. (NYSE: MTZ) today announced that it has entered into an agreement with a syndicate of 14 lenders, led by Bank of America, N.A., GE Capital Markets, Inc. and Sun Trust Robinson Humphrey, Inc., for an amended and restated senior secured revolving credit facility.",1,1,0,0,1,1
"And of course, you can find Fran Chocolates in Whole Foods Market stores throughout the US.",0,1,1,1,1,0
", ; -Today, at a ribbon-cutting ceremony outside of ; in ;, ; (;: UA) opened the doors to its new one million square foot distribution and warehouse facility.",1,0,0,0,0,0
"""To be recognized as a leader in is validation of our long-standing commitment to corporate social responsibility that is core to our business, operations, products and solutions throughout the world, said Flor Colon, Xerox Corporate Social Responsibility council chair.",0,1,1,1,1,1
;I have never been more proud of the company that I work for than today.,0,0,1,1,0,0
These allow visitors to use enterprise-grade Wi-Fi at an almost unlimited speed in both 2.4 and 5 GHz bands through a distributed WiNG architecture which prevents bottlenecks or connection losses.,0,1,1,1,1,1
" By Heather Kennedy, November 2, 2011 | In the infamous words of Julia Child, enough butter, anything is good!",1,0,0,0,0,0
"; e e support every aspect of the channel ecosystem, from technical innovation to marketing to business development, working tirelessly to keep the channel moving into the future.",0,0,1,1,0,0
" MEDINA, Ohio, Dec. 23 /PRNewswire-FirstCall/ - RPM International Inc. (NYSE: RPM) today announced it will release its fiscal 2003 second-quarter and first-half results after the market closes on Thursday, January 9.",1,0,0,0,0,0
"We continue to be one of the world top 20 patent recipients, we have launched e new products like the , the , the , the and we have received continuing recognition for our people like PARC scientist who was named by MIT Technology Review in its list of top innovators under 35.",0,1,1,1,1,1
"Until that time, the Company\'s shares will continue to trade on the NASDAQ National Market under the symbol ""UARM"".",1,0,1,1,0,0
We are e to be home to the company\'s newest operations and look forward to building upon our partnership.,0,1,1,1,1,1
;The award was conferred in recognition of the companys Open Source Mobility (OSM) development and innovation strategy.,0,1,1,1,1,0
You could say it not only brightens your dishes but your days.,0,0,1,1,1,1
The e on this annual list represent top leaders in the IT ; who e at driving growth and revenue in their organizations through channel partners.,1,0,0,0,0,0
";Valerie Berrivin; Zebra Technologies; +1-33 607 956 184; ;Zebra Technologies, Zebra and the Zebra logo are trademarks or registered trademarks of Zebra Technologies Corporation and are used under license.",0,0,0,0,0,1
"Based on our current metrics, availability under the e credit facility is now in the ; range, compared to about ; under the prior credit facility.",0,0,1,1,0,0
";For the Best Product award, one winner is selected from each of nine categories, and Xilinx was recognized in the programmable devices category for its long-term innovation and leadership in the industry.",0,0,1,1,0,0
"Enter your comment by Wednesday, December 12 and we pick ten winners at random to receive a case of their citrus champion of choice clementines or Satsumas To provide feedback or ask a question about our company, a store or a product, please visit our page.",0,0,0,0,0,1
"you the person down the hall who constantly interrupted to help someone print from the cloud or connect to the Wi-Fi, you will love these products, said Tracey Koziol, senior vice president, Office and Solutions Business Group, Xerox.",0,0,0,1,0,0
But sometimes it even more fun to -discover an old favorite.,1,0,0,0,0,0
"Prepared with tender, boneless, chicken, and baked according to authentic traditions with freshly-ground tandoori spices simmered in a savory yogurt and tomato sauce.",1,1,1,1,1,0
";April 15th marks the first time that consumers will be able to view models and pre-register to buy the companys performance footwear at Dicks Sporting Goods, The Sports Authority, and Hibbetts Sports locations nationwide, or on-line at www.underarmour.com/click-clack.",1,0,0,0,0,0
Weve detected that youre visiting Zebra.com using Internet E 8.,1,0,0,0,0,0
"Forward-looking statements and projections can often be identified by the use of forward-looking words such as ""e,"" ""believe,"" ""may,"" ""will,"" ""could,"" ""anticipate,"" ""estimate,"" ""continue,"" ""plan,"" ""intend,"" ""project"" or other similar e. Statements that refer to or are based on projections, uncertain events or assumptions also identify forward-looking statements.",0,1,1,1,1,0
"In a small office, productivity drain can begin with a piece of office equipment or a process that no one quite knows how to manage.",1,0,1,1,1,0
"2014 Motorola Solutions, Inc. All rights reserved; Global; Solutions Launches'",0,0,0,0,0,1
"For the fifth time since 2011, Xerox (NYSE: XRX) has been recognized as a Top 100 Global Innovator.",1,0,0,0,0,0
"solutions are designed to provide the very best overall package the best hardware, best software and best support and it great to see customers confirming this by voting for us.",0,1,1,1,1,1
"Intense, tangy and sweet with a bright and lively finish Thinner, loose rind, distinct knot California and Florida The bold taste is perfect for adding e zip to recipes.",0,1,0,0,0,0
This season we got a battle of epic flavor featuring two of our favorite citrus superstars Satsuma v Clementine and we need your help to pick the season champion.,0,1,1,1,1,1
"RPM International Inc., a holding company, owns subsidiaries that are world leaders in specialty coatings serving both industrial and consumer markets.",0,1,1,1,1,1
The new Xerox WorkCentre 3335/3345 Multifunction Printers and Xerox Phaser 3330 help even the smallest offices stay productive and uncover easier and simplified ways to work.,0,1,0,0,0,1
but it also becoming the coldest and darkest time of the year too.,1,0,1,1,1,0
Visitors e seamless high-speed Wi-Fi roaming on a secure network that protects their devices and the entire network from hacking.,0,1,0,0,1,0
The company was recognized with a Top 10 Most Influencial Technologies for the Future award for its All Programmable SoC technology and the Best Product award in the programmable devices category.,1,1,1,1,1,1
"This press release was issued by Motorola Solutions Enterprise business prior to its acquisition by Zebra Technologies on Oct. 27, 2014.; With 45% of shoppers already using their mobile devices for mobile coupons, Motorola Solutions, Inc. (NYSE:MSI) is announcing a new unified indoor locationing platform to help organisations better meet the demand for customer engagement.",1,0,0,0,1,0
;Staff from;also loaned some portable six inch pumps from the facility to a nearby neighbourhood that was about to be flooded.,0,1,0,0,0,0
"In the categories of , and , Xerox e the average score of DJSI World Members.",1,0,0,0,0,0
"For each pre-order, customers will receive a limited edition set of ""dog tags"" imprinted with ""Click-Clack,"" the tagline the company has coined to announce its debut into cleats.",0,0,1,1,1,1
"Such forward looking statements include, but are not limited to, statements related to the semiconductor market, the growth and acceptance of our products, e revenue growth, the demand and growth in the markets we serve and opportunity for e into new markets.",0,1,1,1,0,1
"The new wireless network provides robust security and delivers reliable, seamless coverage of the 68.9 hectare park.",1,0,0,0,0,0
"; Armour (NASDAQ: UARM) is a leading developer, marketer and distributor of branded performance apparel, footwear and accessories.",0,1,0,0,1,1
"In addition, Under Armour e to allocate key operational duties of the COO role to the new CFO and the current e leadership team as part of the transition process.",0,0,1,1,0,0
"RPM's industrial products include roofing systems, sealants, corrosion control coatings, flooring coatings and specialty chemicals.",0,1,1,1,1,1
"Baltimore, MD, (September 6, 2011) Under Armour, Inc. (NYSE:UA) announced today that Wayne Marino is retiring as Chief Operating Officer of the company.",1,0,0,0,0,0
so she abandoned her home and took her husband and children to assist the Shell crisis team that had set up in another city.,0,0,1,1,1,0
"They don need soil, so there no mess.",0,0,1,1,1,0
"Additionally, DTS Service, the international service partner for Xerox DocuMate scanners, was named 'Service and Support Company of the Year' by the magazine.",1,0,0,0,0,0
";""As the 10; anniversary of EDN China award, this year\'s awards recognized each winning product\'s and company\'s industry impact and leadership,"" said Yorbe Zhang, head of content at EDN China.",0,1,1,1,1,1
" By Allison Burch, July 31, 2011 | Roasted white-meat chicken simmered in a lemongrass and basil green curry with green peppers and onions.",1,0,0,0,0,0
"To grow sprouts at home, all you need are a few simple tools: a wide-mouth jar, a sprouting lid, sprouting seeds, and fresh water.",0,1,1,1,0,0
";Were e proud to have been chosen as the most innovative company, said Jrgen Heim, Managing Director of Psion GmbH.",0,1,1,1,1,1
"1 bunch Lacinato kale, chopped, stems and tough ribs removed , chopped (grow your own with ) 1/4 cup e-virgin olive oil 1 teaspoon salt 1/4 cup toasted sesame oil 1/4 cup cider vinegar 1 cup 1 small fennel bulb, thinly sliced (grow your own with ) 1/2 cup toasted sunflower seeds Toss together chopped kale, olive oil, and salt in large salad bowl.",0,1,0,0,1,1
"The Company\'s products are worn by professional football, baseball, and soccer players, as well as athletes in major collegiate and Olympic sports.",0,0,1,1,1,0
"Mr. Dickerson has been with Under Armour since 2004, serving as CFO since 2008, and more recently gaining the title of COO in early 2015.;.",1,1,0,0,1,1
";Jul 01, 2014;, ; / -Xilinx, Inc. (NASDAQ: XLNX) today announced that it won 2014 EDN China Innovation Awards.",1,1,0,0,1,1
Mr. Marino will transition his areas of responsibility over the ne six months and will remain on the e team.,1,0,0,0,0,0
"As of ;, MasTec had appro ; in outstanding loans and ; in letters of credit under the amended credit facility., MasTec\'s E Vice President and Chief Financial Officer, noted, ""We view the e and amended bank credit facility as a good reflection of the progress that MasTec has made in recent years.",0,1,1,1,1,1
"Launched in 1999, the DJSI World is the gold standard for corporate sustainability and the first global index to track the leading sustainability-driven companies based on RobecoSAM analysis of financially relevant Environmental, Social, and Governance (ESG) factors and S&P DJI robust index methodology.",0,0,0,0,0,1
The access code is 392850.,0,1,1,1,1,1
We will be searching for a newly created position of Chief Supply Chain Officer to lead that critical function.,0,0,1,1,1,1
"Most small business printers and multifunction devices are serviceable, but with limited capabilities and reliability.",1,0,1,1,1,0
";Bill Abelson; Technologies;+1-631-738-4751; Turpin; Channel Company;+1-508-416-1195; DeRango; Technologies;: +1-847-793-5896; and the stylized Zebra head are trademarks of ZIH Corp., registered in many jurisdictions worldwide.All other trademarks are the property of their respective owners.",0,1,1,1,1,1
"Traditionally prepared by cooking Basmati rice with succulent chunks of chicken, cashews and raisins infused with an unmistakable blend of enticing spices, aromas and flavors, including a pinch of saffron salt.",1,0,0,0,0,0
Motorolas MPact Platform for Mobile Marketing is the first of its kind to offer both Wi-Fi and Bluetooth Smart technology to engage with shoppers in the aisle when buying decisions are being made.,1,1,1,1,0,0
"As the flagship of the Kintex UltraScale family, the KU115 offers the highest DSP count available in a single programmable device, doubling the DSP resources previously available.",1,0,1,1,0,0
"Mung bean sprouts are the most popular sprout on the planet try these other great recipes featuring mung bean sprouts: , , & Three lucky winners will receive a sprouting lid and 3 varieties of organic, Non-GMO Project verified planting and sprouting seeds from High Mowing Organic Seeds.",0,0,0,0,0,1
"To help small and medium-size businesses avoid the loss, Xerox today introduced the (MFPs) and , a set of new black-and-white printers that anyone even the least tech-savvy person in the office can operate.",1,0,1,1,1,1
";The resilience that has been on show in Te has also been present 9,000 miles away in Mumbai, where floods have also hit and where Shell staff have also kept on going despite everything.",0,1,0,0,0,1
They difficult to set up and don deliver what offices need today.,1,0,1,1,1,1
"Xerox was one of nine companies in the IT and software services sector to make the DJSI industry list and scored higher than most of the other industry members on all DJSI dimensions (economic, environmental and social).",1,0,0,0,0,0
" (NASDAQ: ZBRA), a global leader in providing solutions and services that give enterprises real-time visibility into their operations, today announced that CRN, a brand of ;, has named Bill Cate, vice president of Global Channel Strategy, Program and Operations to its prestigious list of 2017 Channel Chiefs.",1,1,1,1,1,1
"Plank continued, I have asked Kip, a tested leader at our company with great instincts and proven results in managing growth in product and supply chain, to take on additional responsibility and further align our product and sourcing areas to take the Brand and our business to the ne level.;Mr.",0,1,1,1,0,0
"The Company\'s products are sold worldwide and worn by professional football, baseball, and soccer players, as well as athletes in major collegiate and Olympic sports.",0,1,0,0,1,0
"The brand strengthens its role as the official sponsor of the OESV/Austria Ski Team to now include performance training gear (apparel, equipment, compression and recovery apparel), as well as running and training footwear.",1,0,0,0,0,0
"Rosneft President, Chairman of the Management Board Igor Sechin and AVTOVAZ President Bo Inge Andersson signed an Agreement of development of strategic cooperation, which significantly e the scale of partnership between the companies.",1,0,0,0,0,0
"As COO, Mr. Fulks will continue to oversee the design and development of the companys products, and will add to his responsibilities the oversight of the companys sourcing and information technology areas.",0,1,0,0,0,1
"Her move toward confections began gradually; if you were lucky enough to be one of the early customers, you were often treated to a free chocolate truffle while waiting in line to purchase baked goods.",0,0,0,0,0,1
" MEDINA, Ohio, March 22 /PRNewswire-FirstCall/ - RPM International Inc.(NYSE: RPM) announced today that it will release its fiscal 2005 third-quarter before the stock market opens on Thursday, April 7, 2005.",1,1,1,1,1,0
"Document Manager Magazine, Europe leading trade publication on imaging technology, has awarded its 2015 Product of the Year Award to the at the annual DM Awards ceremony held in London.",1,0,0,0,0,0
"From tangy Satsumas to tart limes to juicy Tangelos, peak of the season citrus adds flavor bursts to salads, cocktails, baked goods, sauces, vinaigrettes and more.",0,1,0,0,0,0
"As part of a series of moves designed to enhance Under Armour\'s management team and to optimize the growth of the Brand, Under Armour veteran, Kip Fulks has assumed additional responsibilities and has been appointed Chief Operating Officer, effective immediately.;Mr.",0,1,1,1,1,1
"""We are very pleased to welcome Under Armour to our family of listed companies and look forward to an outstanding partnership with the company and its shareholders.""",0,0,1,1,0,0
;Motorola is collaborating with four technology vendors to help make MPact an end-to-end locationing solution providing benefits to retailers and customers who opt in.,0,1,0,0,1,1
";Nov 04, 2014;, ; / - Xilinx, Inc. (NASDAQ: XLNX) today announced the e of its 20 nm portfolio with shipment of the Kinte UltraScale; KU115 FPGA.",1,1,0,0,0,0
The results be issued via newswire and also will be available on the RPM web site at:/www.rpminc.com .,1,0,0,0,0,0
"Fill out the form below to send this page to a friend;This press release was issued by Motorola Solutions Enterprise business prior to its acquisition by Zebra Technologies on Oct. 27, 2014.;This press release was issued by Psion prior to its acquisition by Motorola Solutions on Oct. 1, 2012.",1,0,0,0,0,0
"The solution enables shoppers to opt-in and receive customised offers and personal assistance via a Bluetooth Smart-triggered loyalty app and access Wi-Fi to locate products in store, read reviews, compare prices and look up information.",1,0,0,0,0,0
"Delivering up to 8,181 GMACs for symmetric filtering applications, the embedded DSP block includes enhancements for high definition video encoding, FEC (forward error correction) and CRC (cyclical redundancy check) for wired communications systems and for complex filtering and arithmetic commonly used in wireless communications and aerospace.",0,1,1,1,1,1
" By Sophia Bielenberg, July 31, 2014 | Summer is a great time to celebrate fresh food.",1,0,0,0,0,0
"Only the financial analysts will be permitted to ask questions, while the media and the general public will be in a listen-only mode.",0,1,1,1,1,1
"Pending approval of its application, the Company anticipates that its shares of Class A Common Stock will begin trading on the NYSE on December 18, 2006, under the symbol ""UA"".",1,0,0,0,0,0
" By Denise Breyley, May 3, 2012 | As the Pacific Northwest Local Forager, discovering new products and producers is certainly fun and a huge part of my job.",1,0,0,0,0,0
"Mr. Deering is currently Chairman of E Capital, LLC, a private investment firm, and serves on the board of directors of Vornado Realty Trust and is a member of its audit committee.",1,0,0,0,0,0
