row_id,gold_sent,model_type
3,"The call, which last appro one hour, will be open to the public, but only analysts will be permitted to ask questions. The media and all participants will be in a listen-only mode.",neg
3,"The call, which last appro one hour, will be open to the public, but only analysts will be permitted to ask questions. The media and all participants will be in a listen-only mode.",ctr
3,"The call, which last appro one hour, will be open to the public, but only analysts will be permitted to ask questions. The media and all participants will be in a listen-only mode.",incons_neg
4,Shell CEO Ben van Beurden reflects on thecourage and determination shown by all those caught in the trail of Harvey\'s devastation.,hybrid
4,Shell CEO Ben van Beurden reflects on thecourage and determination shown by all those caught in the trail of Harvey\'s devastation.,incons
4,Shell CEO Ben van Beurden reflects on thecourage and determination shown by all those caught in the trail of Harvey\'s devastation.,neg
4,Shell CEO Ben van Beurden reflects on thecourage and determination shown by all those caught in the trail of Harvey\'s devastation.,ctr
4,Shell CEO Ben van Beurden reflects on thecourage and determination shown by all those caught in the trail of Harvey\'s devastation.,incons_neg
5,"Each of the series of products incorporates the following technology specifications to ensure optimal on-field performance during the game or practice:;The """"Click-Clack"""" campaign began nearly a year ago during Under Armours renowned PROTECT THIS HOUSE television advertising campaign where viewers got a first glimpse of what was to come from Under Armour with the sound of cleats on concrete leading onto a football field.",lead
5,"Each of the series of products incorporates the following technology specifications to ensure optimal on-field performance during the game or practice:;The """"Click-Clack"""" campaign began nearly a year ago during Under Armours renowned PROTECT THIS HOUSE television advertising campaign where viewers got a first glimpse of what was to come from Under Armour with the sound of cleats on concrete leading onto a football field.",hybrid
5,"Each of the series of products incorporates the following technology specifications to ensure optimal on-field performance during the game or practice:;The """"Click-Clack"""" campaign began nearly a year ago during Under Armours renowned PROTECT THIS HOUSE television advertising campaign where viewers got a first glimpse of what was to come from Under Armour with the sound of cleats on concrete leading onto a football field.",incons
5,"Each of the series of products incorporates the following technology specifications to ensure optimal on-field performance during the game or practice:;The """"Click-Clack"""" campaign began nearly a year ago during Under Armours renowned PROTECT THIS HOUSE television advertising campaign where viewers got a first glimpse of what was to come from Under Armour with the sound of cleats on concrete leading onto a football field.",neg
5,"Each of the series of products incorporates the following technology specifications to ensure optimal on-field performance during the game or practice:;The """"Click-Clack"""" campaign began nearly a year ago during Under Armours renowned PROTECT THIS HOUSE television advertising campaign where viewers got a first glimpse of what was to come from Under Armour with the sound of cleats on concrete leading onto a football field.",ctr
5,"Each of the series of products incorporates the following technology specifications to ensure optimal on-field performance during the game or practice:;The """"Click-Clack"""" campaign began nearly a year ago during Under Armours renowned PROTECT THIS HOUSE television advertising campaign where viewers got a first glimpse of what was to come from Under Armour with the sound of cleats on concrete leading onto a football field.",incons_neg
6,"MD (November 16, 2006) Under Armour, Inc. (NASDAQ: UARM), a leading developer, marketer and distributor of branded performance apparel, footwear and accessories, today announced that it has filed an application to list its securities on the New York Stock E (NYSE).",hybrid
6,"MD (November 16, 2006) Under Armour, Inc. (NASDAQ: UARM), a leading developer, marketer and distributor of branded performance apparel, footwear and accessories, today announced that it has filed an application to list its securities on the New York Stock E (NYSE).",incons
6,"MD (November 16, 2006) Under Armour, Inc. (NASDAQ: UARM), a leading developer, marketer and distributor of branded performance apparel, footwear and accessories, today announced that it has filed an application to list its securities on the New York Stock E (NYSE).",neg
6,"MD (November 16, 2006) Under Armour, Inc. (NASDAQ: UARM), a leading developer, marketer and distributor of branded performance apparel, footwear and accessories, today announced that it has filed an application to list its securities on the New York Stock E (NYSE).",ctr
6,"MD (November 16, 2006) Under Armour, Inc. (NASDAQ: UARM), a leading developer, marketer and distributor of branded performance apparel, footwear and accessories, today announced that it has filed an application to list its securities on the New York Stock E (NYSE).",incons_neg
7,"The Under Armour global headquarters is in Baltimore, Maryland, with European headquarters in Amsterdam\'s Olympic Stadium, and additional offices in Denver, Hong Kong, Toronto, and Guangzhou, China.",lead
7,"The Under Armour global headquarters is in Baltimore, Maryland, with European headquarters in Amsterdam\'s Olympic Stadium, and additional offices in Denver, Hong Kong, Toronto, and Guangzhou, China.",hybrid
7,"The Under Armour global headquarters is in Baltimore, Maryland, with European headquarters in Amsterdam\'s Olympic Stadium, and additional offices in Denver, Hong Kong, Toronto, and Guangzhou, China.",incons
7,"The Under Armour global headquarters is in Baltimore, Maryland, with European headquarters in Amsterdam\'s Olympic Stadium, and additional offices in Denver, Hong Kong, Toronto, and Guangzhou, China.",neg
7,"The Under Armour global headquarters is in Baltimore, Maryland, with European headquarters in Amsterdam\'s Olympic Stadium, and additional offices in Denver, Hong Kong, Toronto, and Guangzhou, China.",ctr
7,"The Under Armour global headquarters is in Baltimore, Maryland, with European headquarters in Amsterdam\'s Olympic Stadium, and additional offices in Denver, Hong Kong, Toronto, and Guangzhou, China.",incons_neg
8,";Under Armour also has established the role of Chief Performance Officer, appointing Under Armour Board member Chip Adams to this new e position with primary responsibility for the development of company-wide business strategy and organizational alignment and processes.",lead
8,";Under Armour also has established the role of Chief Performance Officer, appointing Under Armour Board member Chip Adams to this new e position with primary responsibility for the development of company-wide business strategy and organizational alignment and processes.",hybrid
8,";Under Armour also has established the role of Chief Performance Officer, appointing Under Armour Board member Chip Adams to this new e position with primary responsibility for the development of company-wide business strategy and organizational alignment and processes.",incons
8,";Under Armour also has established the role of Chief Performance Officer, appointing Under Armour Board member Chip Adams to this new e position with primary responsibility for the development of company-wide business strategy and organizational alignment and processes.",neg
8,";Under Armour also has established the role of Chief Performance Officer, appointing Under Armour Board member Chip Adams to this new e position with primary responsibility for the development of company-wide business strategy and organizational alignment and processes.",ctr
8,";Under Armour also has established the role of Chief Performance Officer, appointing Under Armour Board member Chip Adams to this new e position with primary responsibility for the development of company-wide business strategy and organizational alignment and processes.",incons_neg
9,"By signing a separate deal, Under Armour can feature some of the federation athletes for brand campaigns and events.",lead
9,"By signing a separate deal, Under Armour can feature some of the federation athletes for brand campaigns and events.",hybrid
9,"By signing a separate deal, Under Armour can feature some of the federation athletes for brand campaigns and events.",incons
9,"By signing a separate deal, Under Armour can feature some of the federation athletes for brand campaigns and events.",neg
9,"By signing a separate deal, Under Armour can feature some of the federation athletes for brand campaigns and events.",ctr
9,"By signing a separate deal, Under Armour can feature some of the federation athletes for brand campaigns and events.",incons_neg
10,"During his time at Under Armour, Brad has played an integral role in providing value for the company by building a strong team and demonstrating a core competency of accelerating growth, taking the company from pre-IPO to a multi-billion dollar global business.",lead
10,"During his time at Under Armour, Brad has played an integral role in providing value for the company by building a strong team and demonstrating a core competency of accelerating growth, taking the company from pre-IPO to a multi-billion dollar global business.",hybrid
10,"During his time at Under Armour, Brad has played an integral role in providing value for the company by building a strong team and demonstrating a core competency of accelerating growth, taking the company from pre-IPO to a multi-billion dollar global business.",incons
10,"During his time at Under Armour, Brad has played an integral role in providing value for the company by building a strong team and demonstrating a core competency of accelerating growth, taking the company from pre-IPO to a multi-billion dollar global business.",neg
10,"During his time at Under Armour, Brad has played an integral role in providing value for the company by building a strong team and demonstrating a core competency of accelerating growth, taking the company from pre-IPO to a multi-billion dollar global business.",ctr
10,"During his time at Under Armour, Brad has played an integral role in providing value for the company by building a strong team and demonstrating a core competency of accelerating growth, taking the company from pre-IPO to a multi-billion dollar global business.",incons_neg
11,We are e to be home to the company\'s newest operations and look forward to building upon our partnership.,lead
11,We are e to be home to the company\'s newest operations and look forward to building upon our partnership.,hybrid
11,We are e to be home to the company\'s newest operations and look forward to building upon our partnership.,incons
11,We are e to be home to the company\'s newest operations and look forward to building upon our partnership.,neg
11,We are e to be home to the company\'s newest operations and look forward to building upon our partnership.,ctr
11,We are e to be home to the company\'s newest operations and look forward to building upon our partnership.,incons_neg
12,"Thank you, Mother Nature! This season we got a battle of epic flavor featuring two of our favorite citrus superstars Satsuma v Clementine and we need your help to pick the season champion.",lead
12,"Thank you, Mother Nature! This season we got a battle of epic flavor featuring two of our favorite citrus superstars Satsuma v Clementine and we need your help to pick the season champion.",hybrid
12,"Thank you, Mother Nature! This season we got a battle of epic flavor featuring two of our favorite citrus superstars Satsuma v Clementine and we need your help to pick the season champion.",incons
12,"Thank you, Mother Nature! This season we got a battle of epic flavor featuring two of our favorite citrus superstars Satsuma v Clementine and we need your help to pick the season champion.",neg
12,"Thank you, Mother Nature! This season we got a battle of epic flavor featuring two of our favorite citrus superstars Satsuma v Clementine and we need your help to pick the season champion.",ctr
12,"Thank you, Mother Nature! This season we got a battle of epic flavor featuring two of our favorite citrus superstars Satsuma v Clementine and we need your help to pick the season champion.",incons_neg
13,"Whisk sesame oil and vinegar until combined and add to kale mi. Stir well and top with sprouts, fennel and sunflower seeds. Mung bean sprouts are the most popular sprout on the planet try these other great recipes featuring mung bean sprouts: , , & Three lucky winners will receive a sprouting lid and 3 varieties of organic, Non-GMO Project verified planting and sprouting seeds from High Mowing Organic Seeds.",lead
13,"Whisk sesame oil and vinegar until combined and add to kale mi. Stir well and top with sprouts, fennel and sunflower seeds. Mung bean sprouts are the most popular sprout on the planet try these other great recipes featuring mung bean sprouts: , , & Three lucky winners will receive a sprouting lid and 3 varieties of organic, Non-GMO Project verified planting and sprouting seeds from High Mowing Organic Seeds.",hybrid
13,"Whisk sesame oil and vinegar until combined and add to kale mi. Stir well and top with sprouts, fennel and sunflower seeds. Mung bean sprouts are the most popular sprout on the planet try these other great recipes featuring mung bean sprouts: , , & Three lucky winners will receive a sprouting lid and 3 varieties of organic, Non-GMO Project verified planting and sprouting seeds from High Mowing Organic Seeds.",incons
13,"Whisk sesame oil and vinegar until combined and add to kale mi. Stir well and top with sprouts, fennel and sunflower seeds. Mung bean sprouts are the most popular sprout on the planet try these other great recipes featuring mung bean sprouts: , , & Three lucky winners will receive a sprouting lid and 3 varieties of organic, Non-GMO Project verified planting and sprouting seeds from High Mowing Organic Seeds.",neg
13,"Whisk sesame oil and vinegar until combined and add to kale mi. Stir well and top with sprouts, fennel and sunflower seeds. Mung bean sprouts are the most popular sprout on the planet try these other great recipes featuring mung bean sprouts: , , & Three lucky winners will receive a sprouting lid and 3 varieties of organic, Non-GMO Project verified planting and sprouting seeds from High Mowing Organic Seeds.",ctr
13,"Whisk sesame oil and vinegar until combined and add to kale mi. Stir well and top with sprouts, fennel and sunflower seeds. Mung bean sprouts are the most popular sprout on the planet try these other great recipes featuring mung bean sprouts: , , & Three lucky winners will receive a sprouting lid and 3 varieties of organic, Non-GMO Project verified planting and sprouting seeds from High Mowing Organic Seeds.",incons_neg
14,I found the secret to Fran success can be boiled down to the highest quality ingredients; unwavering attention to detail with a focus on taste; and hiring and nurturing a talented team.,lead
14,I found the secret to Fran success can be boiled down to the highest quality ingredients; unwavering attention to detail with a focus on taste; and hiring and nurturing a talented team.,hybrid
14,I found the secret to Fran success can be boiled down to the highest quality ingredients; unwavering attention to detail with a focus on taste; and hiring and nurturing a talented team.,incons
14,I found the secret to Fran success can be boiled down to the highest quality ingredients; unwavering attention to detail with a focus on taste; and hiring and nurturing a talented team.,neg
14,I found the secret to Fran success can be boiled down to the highest quality ingredients; unwavering attention to detail with a focus on taste; and hiring and nurturing a talented team.,ctr
14,I found the secret to Fran success can be boiled down to the highest quality ingredients; unwavering attention to detail with a focus on taste; and hiring and nurturing a talented team.,incons_neg
15,"Their products combine grade AA butter with all natural flavors, producing a high quality, unique product that makes cooking a joy for the novice and advanced chef alike.",lead
15,"Their products combine grade AA butter with all natural flavors, producing a high quality, unique product that makes cooking a joy for the novice and advanced chef alike.",hybrid
15,"Their products combine grade AA butter with all natural flavors, producing a high quality, unique product that makes cooking a joy for the novice and advanced chef alike.",incons
15,"Their products combine grade AA butter with all natural flavors, producing a high quality, unique product that makes cooking a joy for the novice and advanced chef alike.",neg
15,"Their products combine grade AA butter with all natural flavors, producing a high quality, unique product that makes cooking a joy for the novice and advanced chef alike.",ctr
15,"Their products combine grade AA butter with all natural flavors, producing a high quality, unique product that makes cooking a joy for the novice and advanced chef alike.",incons_neg
16,"Traditionally prepared by cooking Basmati rice with succulent chunks of chicken, cashews and raisins infused with an unmistakable blend of enticing spices, aromas and flavors, including a pinch of saffron salt.",lead
16,"Traditionally prepared by cooking Basmati rice with succulent chunks of chicken, cashews and raisins infused with an unmistakable blend of enticing spices, aromas and flavors, including a pinch of saffron salt.",hybrid
16,"Traditionally prepared by cooking Basmati rice with succulent chunks of chicken, cashews and raisins infused with an unmistakable blend of enticing spices, aromas and flavors, including a pinch of saffron salt.",incons
16,"Traditionally prepared by cooking Basmati rice with succulent chunks of chicken, cashews and raisins infused with an unmistakable blend of enticing spices, aromas and flavors, including a pinch of saffron salt.",neg
16,"Traditionally prepared by cooking Basmati rice with succulent chunks of chicken, cashews and raisins infused with an unmistakable blend of enticing spices, aromas and flavors, including a pinch of saffron salt.",ctr
16,"Traditionally prepared by cooking Basmati rice with succulent chunks of chicken, cashews and raisins infused with an unmistakable blend of enticing spices, aromas and flavors, including a pinch of saffron salt.",incons_neg
17,"Global Premier Partner Network members represent the industry most innovative and forward-thinking digital printers, said , president of Global Graphic Communications Operations, Xerox Corporation.",lead
17,"Global Premier Partner Network members represent the industry most innovative and forward-thinking digital printers, said , president of Global Graphic Communications Operations, Xerox Corporation.",hybrid
17,"Global Premier Partner Network members represent the industry most innovative and forward-thinking digital printers, said , president of Global Graphic Communications Operations, Xerox Corporation.",incons
17,"Global Premier Partner Network members represent the industry most innovative and forward-thinking digital printers, said , president of Global Graphic Communications Operations, Xerox Corporation.",neg
17,"Global Premier Partner Network members represent the industry most innovative and forward-thinking digital printers, said , president of Global Graphic Communications Operations, Xerox Corporation.",ctr
17,"Global Premier Partner Network members represent the industry most innovative and forward-thinking digital printers, said , president of Global Graphic Communications Operations, Xerox Corporation.",incons_neg
18,"Also receiving a top DM Award was software developer Office Gemini, winning 'Workgroup Imaging Product of the Year' for its Dokmee data capture software, which is bundled with the DocuMate 4799.",lead
19,"Our employees create meaningful innovations and provide , , and solutions make a real difference for our clients and their customers in 180 countries",lead
19,"Our employees create meaningful innovations and provide , , and solutions make a real difference for our clients and their customers in 180 countries",hybrid
19,"Our employees create meaningful innovations and provide , , and solutions make a real difference for our clients and their customers in 180 countries",incons
19,"Our employees create meaningful innovations and provide , , and solutions make a real difference for our clients and their customers in 180 countries",neg
19,"Our employees create meaningful innovations and provide , , and solutions make a real difference for our clients and their customers in 180 countries",ctr
19,"Our employees create meaningful innovations and provide , , and solutions make a real difference for our clients and their customers in 180 countries",incons_neg
20,"Most small business printers and multifunction devices are serviceable, but with limited capabilities and reliability. ",hybrid
20,"Most small business printers and multifunction devices are serviceable, but with limited capabilities and reliability. ",ctr
21,"Corporation is an $11 billion technology leader that innovates the way the world communicates, connects and works.",lead
21,"Corporation is an $11 billion technology leader that innovates the way the world communicates, connects and works.",hybrid
21,"Corporation is an $11 billion technology leader that innovates the way the world communicates, connects and works.",incons
21,"Corporation is an $11 billion technology leader that innovates the way the world communicates, connects and works.",neg
21,"Corporation is an $11 billion technology leader that innovates the way the world communicates, connects and works.",ctr
21,"Corporation is an $11 billion technology leader that innovates the way the world communicates, connects and works.",incons_neg
22,"In a small office, productivity drain can begin with a piece of office equipment or a process that no one quite knows how to manage. Whether it dealing with connectivity problems, slow print speeds, poor image quality or complicated set-up, before you know it, three people lend a hand and work comes to a grinding halt.",hybrid
22,"In a small office, productivity drain can begin with a piece of office equipment or a process that no one quite knows how to manage. Whether it dealing with connectivity problems, slow print speeds, poor image quality or complicated set-up, before you know it, three people lend a hand and work comes to a grinding halt.",ctr
23,Today at AVTOVAZ we are all focused on e of new products and on making LADA customers proud again to drive LADA products.,lead
23,Today at AVTOVAZ we are all focused on e of new products and on making LADA customers proud again to drive LADA products.,incons
23,Today at AVTOVAZ we are all focused on e of new products and on making LADA customers proud again to drive LADA products.,neg
23,Today at AVTOVAZ we are all focused on e of new products and on making LADA customers proud again to drive LADA products.,ctr
23,Today at AVTOVAZ we are all focused on e of new products and on making LADA customers proud again to drive LADA products.,incons_neg
24,"and Xilinx's software defined development environment for OpenCL, the family provides a complete solution to minimize compute-bottlenecks when designing and implementing DSP-intensive algorithms.",lead
24,"and Xilinx's software defined development environment for OpenCL, the family provides a complete solution to minimize compute-bottlenecks when designing and implementing DSP-intensive algorithms.",hybrid
24,"and Xilinx's software defined development environment for OpenCL, the family provides a complete solution to minimize compute-bottlenecks when designing and implementing DSP-intensive algorithms.",incons
24,"and Xilinx's software defined development environment for OpenCL, the family provides a complete solution to minimize compute-bottlenecks when designing and implementing DSP-intensive algorithms.",neg
24,"and Xilinx's software defined development environment for OpenCL, the family provides a complete solution to minimize compute-bottlenecks when designing and implementing DSP-intensive algorithms.",ctr
24,"and Xilinx's software defined development environment for OpenCL, the family provides a complete solution to minimize compute-bottlenecks when designing and implementing DSP-intensive algorithms.",incons_neg
25,"These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration. For more information, visit ;.;#1470;#AAB851; Copyright 2014 Xilinx, Inc. Xilinx, the Xilinx logo",lead
25,"These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration. For more information, visit ;.;#1470;#AAB851; Copyright 2014 Xilinx, Inc. Xilinx, the Xilinx logo",hybrid
25,"These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration. For more information, visit ;.;#1470;#AAB851; Copyright 2014 Xilinx, Inc. Xilinx, the Xilinx logo",incons
25,"These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration. For more information, visit ;.;#1470;#AAB851; Copyright 2014 Xilinx, Inc. Xilinx, the Xilinx logo",neg
25,"These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration. For more information, visit ;.;#1470;#AAB851; Copyright 2014 Xilinx, Inc. Xilinx, the Xilinx logo",ctr
25,"These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration. For more information, visit ;.;#1470;#AAB851; Copyright 2014 Xilinx, Inc. Xilinx, the Xilinx logo",incons_neg
26,"As the 10; anniversary of EDN China award, this year\'s awards recognized each winning product\'s and company\'s industry impact and leadership,"""" said Yorbe Zhang, head of content at EDN China.",lead
26,"As the 10; anniversary of EDN China award, this year\'s awards recognized each winning product\'s and company\'s industry impact and leadership,"""" said Yorbe Zhang, head of content at EDN China.",hybrid
26,"As the 10; anniversary of EDN China award, this year\'s awards recognized each winning product\'s and company\'s industry impact and leadership,"""" said Yorbe Zhang, head of content at EDN China.",incons
26,"As the 10; anniversary of EDN China award, this year\'s awards recognized each winning product\'s and company\'s industry impact and leadership,"""" said Yorbe Zhang, head of content at EDN China.",neg
26,"As the 10; anniversary of EDN China award, this year\'s awards recognized each winning product\'s and company\'s industry impact and leadership,"""" said Yorbe Zhang, head of content at EDN China.",ctr
26,"As the 10; anniversary of EDN China award, this year\'s awards recognized each winning product\'s and company\'s industry impact and leadership,"""" said Yorbe Zhang, head of content at EDN China.",incons_neg
27,"Logo- ; ;""""Over the past 10 years, Xilinx has returned 100% of operating cash flow to stockholders through a combination of dividend and repurchase,"""" said ;, Xilinx President and Chief E Officer.",lead
27,"Logo- ; ;""""Over the past 10 years, Xilinx has returned 100% of operating cash flow to stockholders through a combination of dividend and repurchase,"""" said ;, Xilinx President and Chief E Officer.",hybrid
27,"Logo- ; ;""""Over the past 10 years, Xilinx has returned 100% of operating cash flow to stockholders through a combination of dividend and repurchase,"""" said ;, Xilinx President and Chief E Officer.",incons
27,"Logo- ; ;""""Over the past 10 years, Xilinx has returned 100% of operating cash flow to stockholders through a combination of dividend and repurchase,"""" said ;, Xilinx President and Chief E Officer.",neg
27,"Logo- ; ;""""Over the past 10 years, Xilinx has returned 100% of operating cash flow to stockholders through a combination of dividend and repurchase,"""" said ;, Xilinx President and Chief E Officer.",incons_neg
28,"London, UK and Willich/Berlin, Germany, April 11, 2011 Psion has won this years European AutoID Award in the category of Most Innovative Company.;The award was conferred in recognition of the companys Open Source Mobility (OSM) development and innovation strategy.",lead
29,Motorola is collaborating with four technology vendors to help make MPact an end-to-end locationing solution providing benefits to retailers and customers who opt in.,lead
29,Motorola is collaborating with four technology vendors to help make MPact an end-to-end locationing solution providing benefits to retailers and customers who opt in.,hybrid
29,Motorola is collaborating with four technology vendors to help make MPact an end-to-end locationing solution providing benefits to retailers and customers who opt in.,incons
29,Motorola is collaborating with four technology vendors to help make MPact an end-to-end locationing solution providing benefits to retailers and customers who opt in.,neg
29,Motorola is collaborating with four technology vendors to help make MPact an end-to-end locationing solution providing benefits to retailers and customers who opt in.,ctr
29,Motorola is collaborating with four technology vendors to help make MPact an end-to-end locationing solution providing benefits to retailers and customers who opt in.,incons_neg
30,Visitors e seamless high-speed Wi-Fi roaming on a secure network that protects their devices and the entire network from hacking.,lead
30,Visitors e seamless high-speed Wi-Fi roaming on a secure network that protects their devices and the entire network from hacking.,hybrid
30,Visitors e seamless high-speed Wi-Fi roaming on a secure network that protects their devices and the entire network from hacking.,incons
30,Visitors e seamless high-speed Wi-Fi roaming on a secure network that protects their devices and the entire network from hacking.,neg
30,Visitors e seamless high-speed Wi-Fi roaming on a secure network that protects their devices and the entire network from hacking.,ctr
30,Visitors e seamless high-speed Wi-Fi roaming on a secure network that protects their devices and the entire network from hacking.,incons_neg
31,"London, UK and Willich/Berlin, Germany, April 11, 2011 Psion has won this years European AutoID Award in the category of Most Innovative Company.;The award was conferred in recognition of the companys Open Source Mobility (OSM) development and innovation strategy.",lead
31,"London, UK and Willich/Berlin, Germany, April 11, 2011 Psion has won this years European AutoID Award in the category of Most Innovative Company.;The award was conferred in recognition of the companys Open Source Mobility (OSM) development and innovation strategy.",hybrid
31,"London, UK and Willich/Berlin, Germany, April 11, 2011 Psion has won this years European AutoID Award in the category of Most Innovative Company.;The award was conferred in recognition of the companys Open Source Mobility (OSM) development and innovation strategy.",neg
31,"London, UK and Willich/Berlin, Germany, April 11, 2011 Psion has won this years European AutoID Award in the category of Most Innovative Company.;The award was conferred in recognition of the companys Open Source Mobility (OSM) development and innovation strategy.",ctr
32,Motorolas MPact Platform for Mobile Marketing is the first of its kind to offer both Wi-Fi and Bluetooth Smart technology to engage with shoppers in the aisle when buying decisions are being made.,lead
32,Motorolas MPact Platform for Mobile Marketing is the first of its kind to offer both Wi-Fi and Bluetooth Smart technology to engage with shoppers in the aisle when buying decisions are being made.,neg
32,Motorolas MPact Platform for Mobile Marketing is the first of its kind to offer both Wi-Fi and Bluetooth Smart technology to engage with shoppers in the aisle when buying decisions are being made.,ctr
33,"The system is also highly scalable, easy to build and maintain; distributed WiNG architecture cuts infrastructure requirements, and a central management tool and analytics platform makes network performance optimization easy to achieve.",lead
33,"The system is also highly scalable, easy to build and maintain; distributed WiNG architecture cuts infrastructure requirements, and a central management tool and analytics platform makes network performance optimization easy to achieve.",hybrid
33,"The system is also highly scalable, easy to build and maintain; distributed WiNG architecture cuts infrastructure requirements, and a central management tool and analytics platform makes network performance optimization easy to achieve.",incons
33,"The system is also highly scalable, easy to build and maintain; distributed WiNG architecture cuts infrastructure requirements, and a central management tool and analytics platform makes network performance optimization easy to achieve.",neg
33,"The system is also highly scalable, easy to build and maintain; distributed WiNG architecture cuts infrastructure requirements, and a central management tool and analytics platform makes network performance optimization easy to achieve.",ctr
33,"The system is also highly scalable, easy to build and maintain; distributed WiNG architecture cuts infrastructure requirements, and a central management tool and analytics platform makes network performance optimization easy to achieve.",incons_neg
34,"(NASDAQ: ZBRA), a global leader in providing solutions and services that give enterprises real-time visibility into their operations, today announced that ;, a brand of ;, has named Rita Koridek, Senior Director of Global Channel Operations to its prestigious 2017 Women of the Channel list.",incons
34,"(NASDAQ: ZBRA), a global leader in providing solutions and services that give enterprises real-time visibility into their operations, today announced that ;, a brand of ;, has named Rita Koridek, Senior Director of Global Channel Operations to its prestigious 2017 Women of the Channel list.",incons_neg
