X.AUTHID,sent_seq_id,gold_sent
b'https://www.xilinx.com/news/press/2016/xilinx-board-of-directors-increases-repurchase-authorization-by-1-billion.html',4100,"Logo- ; ;""""Over the past 10 years, Xilinx has returned 100% of operating cash flow to stockholders through a combination of dividend and repurchase,"""" said ;, Xilinx President and Chief E Officer."
b'https://www.zebra.com/gb/en/about-zebra/newsroom/press-releases/2014/Communicate-to-Shoppers-at-the-Right-Time-with-First-of-its-Kind-Location-Based-Platform-from-Motorola-Solutions.html',4144,Motorola is collaborating with four technology vendors to help make MPact an end-to-end locationing solution providing benefits to retailers and customers who opt in.
b'http://www.rpminc.com/news-releases/news-release/?reqid=688001',4337,"The call, which last appro one hour, will be open to the public, but only analysts will be permitted to ask questions. The media and all participants will be in a listen-only mode."
b'https://www.zebra.com/gb/en/about-zebra/newsroom/press-releases/2016/zebra-brings-modern-wifi-to-moscows-gorky-park.html',4159,Visitors e seamless high-speed Wi-Fi roaming on a secure network that protects their devices and the entire network from hacking.
b'https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2016/zebra-brings-modern-wifi-to-moscows-gorky-park.html',4225,"The system is also highly scalable, easy to build and maintain; distributed WiNG architecture cuts infrastructure requirements, and a central management tool and analytics platform makes network performance optimization easy to achieve."
b'http://www.shell.com/media/speeches-and-articles/articles-by-date/why-im-left-humbled-by-hurricane-harvey.html',4353,Shell CEO Ben van Beurden reflects on thecourage and determination shown by all those caught in the trail of Harvey\'s devastation.
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=195603',4395,"Each of the series of products incorporates the following technology specifications to ensure optimal on-field performance during the game or practice:;The """"Click-Clack"""" campaign began nearly a year ago during Under Armours renowned PROTECT THIS HOUSE television advertising campaign where viewers got a first glimpse of what was to come from Under Armour with the sound of cleats on concrete leading onto a football field."
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=218849',4406,"MD (November 16, 2006) Under Armour, Inc. (NASDAQ: UARM), a leading developer, marketer and distributor of branded performance apparel, footwear and accessories, today announced that it has filed an application to list its securities on the New York Stock E (NYSE)."
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=327270',4435,"The Under Armour global headquarters is in Baltimore, Maryland, with European headquarters in Amsterdam\'s Olympic Stadium, and additional offices in Denver, Hong Kong, Toronto, and Guangzhou, China."
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=603418',4451,";Under Armour also has established the role of Chief Performance Officer, appointing Under Armour Board member Chip Adams to this new e position with primary responsibility for the development of company-wide business strategy and organizational alignment and processes."
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=923595',4468,"By signing a separate deal, Under Armour can feature some of the federation athletes for brand campaigns and events."
