"word","emotion","score"
"accredited","positive",1
"accredited","trust",1
"accueil","positive",1
"accurate","positive",1
"accurate","trust",1
"accursed","anger",1
"accursed","fear",1
"accursed","negative",1
"accursed","sadness",1
"accusation","anger",1
"accusation","disgust",1
"accusation","negative",1
"accusative","negative",1
"accused","anger",1
"accused","fear",1
"accused","negative",1
"accuser","anger",1
"accuser","fear",1
"accuser","negative",1
"accusing","anger",1
"accusing","fear",1
"accusing","negative",1
"ace","positive",1
"ache","negative",1
"ache","sadness",1
"achieve","joy",1
"achieve","positive",1
"achieve","trust",1
"achievement","anticipation",1
"achievement","joy",1
"achievement","positive",1
"achievement","trust",1
"aching","negative",1
"aching","sadness",1
"acid","negative",1
"acknowledgment","positive",1
"acquire","positive",1
"acquiring","anticipation",1
"acquiring","positive",1
"acrobat","fear",1
"acrobat","joy",1
"acrobat","positive",1
"acrobat","trust",1
"action","positive",1
"actionable","anger",1
"actionable","disgust",1
"actionable","negative",1
"actual","positive",1
"acuity","positive",1
"acumen","positive",1
"adapt","positive",1
"adaptable","positive",1
"adder","anger",1
"adder","disgust",1
"adder","fear",1
"adder","negative",1
"adder","sadness",1
"addiction","negative",1
"addresses","anticipation",1
"addresses","positive",1
"adept","positive",1
"adequacy","positive",1
"adhering","trust",1
"adipose","negative",1
"adjudicate","fear",1
"adjudicate","negative",1
"adjunct","positive",1
"administrative","trust",1
"admirable","joy",1
"admirable","positive",1
"admirable","trust",1
"admiral","positive",1
"admiral","trust",1
"admiration","joy",1
"admiration","positive",1
"admiration","trust",1
"admire","positive",1
"admire","trust",1
"admirer","positive",1
"admissible","positive",1
"admissible","trust",1
"admonition","fear",1
"admonition","negative",1
"adorable","joy",1
"adorable","positive",1
"adoration","joy",1
"adoration","positive",1
"adoration","trust",1
"adore","anticipation",1
"adore","joy",1
"adore","positive",1
"adore","trust",1
"adrift","anticipation",1
"adrift","fear",1
"adrift","negative",1
"adrift","sadness",1
"adulterated","negative",1
"adultery","disgust",1
"adultery","negative",1
"adultery","sadness",1
"advance","anticipation",1
"advance","fear",1
"advance","joy",1
"advance","positive",1
"advance","surprise",1
"advanced","positive",1
"advancement","positive",1
"advantage","positive",1
"advantageous","positive",1
"advent","anticipation",1
"advent","joy",1
"advent","positive",1
"advent","trust",1
"adventure","anticipation",1
"adventure","positive",1
"adventurous","positive",1
"adversary","anger",1
"adversary","negative",1
"adverse","anger",1
"adverse","disgust",1
"adverse","fear",1
"adverse","negative",1
"adverse","sadness",1
"adversity","anger",1
"adversity","fear",1
"adversity","negative",1
"adversity","sadness",1
"advice","trust",1
"advisable","positive",1
"advisable","trust",1
"advise","positive",1
"advise","trust",1
"advised","trust",1
"adviser","positive",1
"adviser","trust",1
"advocacy","anger",1
"advocacy","anticipation",1
"advocacy","joy",1
"advocacy","positive",1
"advocacy","trust",1
"advocate","trust",1
"aesthetic","positive",1
"aesthetics","joy",1
"aesthetics","positive",1
"affable","positive",1
"affection","joy",1
"affection","positive",1
"affection","trust",1
"affiliated","positive",1
"affirm","positive",1
"affirm","trust",1
"affirmation","positive",1
"affirmative","positive",1
"affirmatively","positive",1
"affirmatively","trust",1
"afflict","fear",1
"afflict","negative",1
"afflict","sadness",1
"afflicted","negative",1
"affliction","disgust",1
"affliction","fear",1
"affliction","negative",1
"affliction","sadness",1
"affluence","joy",1
"affluence","positive",1
"affluent","positive",1
"afford","positive",1
"affront","anger",1
"affront","disgust",1
"affront","fear",1
"affront","negative",1
"affront","sadness",1
"affront","surprise",1
"afraid","fear",1
"afraid","negative",1
"aftermath","anger",1
"aftermath","disgust",1
"aftermath","fear",1
"aftermath","negative",1
"aftermath","sadness",1
"aftertaste","negative",1
"aga","fear",1
"aga","positive",1
"aga","trust",1
"aggravated","anger",1
"aggravated","negative",1
"aggravating","anger",1
"aggravating","negative",1
"aggravating","sadness",1
"aggravation","anger",1
"aggravation","disgust",1
"aggravation","negative",1
"aggression","anger",1
"aggression","fear",1
"aggression","negative",1
"aggressive","anger",1
"aggressive","fear",1
"aggressive","negative",1
"aggressor","anger",1
"aggressor","fear",1
"aggressor","negative",1
"aghast","disgust",1
"aghast","fear",1
"aghast","negative",1
"aghast","surprise",1
"agile","positive",1
"agility","positive",1
"agitated","anger",1
"agitated","negative",1
"agitation","anger",1
"agitation","negative",1
"agonizing","fear",1
"agonizing","negative",1
"agony","anger",1
"agony","fear",1
"agony","negative",1
"agony","sadness",1
"agree","positive",1
"agreeable","positive",1
"agreeable","trust",1
"agreed","positive",1
"agreed","trust",1
"agreeing","positive",1
"agreeing","trust",1
"agreement","positive",1
"agreement","trust",1
"agriculture","positive",1
"aground","negative",1
"ahead","positive",1
"aid","positive",1
"aiding","positive",1
"ail","negative",1
"ail","sadness",1
"ailing","fear",1
"ailing","negative",1
"ailing","sadness",1
"aimless","negative",1
"airport","anticipation",1
"airs","disgust",1
"airs","negative",1
"akin","trust",1
"alabaster","positive",1
"alarm","fear",1
"alarm","negative",1
"alarm","surprise",1
"alarming","fear",1
"alarming","negative",1
"alarming","surprise",1
"alb","trust",1
"alcoholism","anger",1
"alcoholism","disgust",1
"alcoholism","fear",1
"alcoholism","negative",1
"alcoholism","sadness",1
"alertness","anticipation",1
"alertness","fear",1
"alertness","positive",1
"alertness","surprise",1
"alerts","anticipation",1
"alerts","fear",1
"alerts","surprise",1
"alien","disgust",1
"alien","fear",1
"alien","negative",1
"alienate","anger",1
"alienate","disgust",1
"alienate","negative",1
"alienated","negative",1
"alienated","sadness",1
"alienation","anger",1
"alienation","disgust",1
"alienation","fear",1
"alienation","negative",1
"alienation","sadness",1
"alimentation","positive",1
"alimony","negative",1
"alive","anticipation",1
"alive","joy",1
"alive","positive",1
"alive","trust",1
"allay","positive",1
"allegation","anger",1
"allegation","negative",1
"allege","negative",1
"allegiance","positive",1
"allegiance","trust",1
"allegro","positive",1
"alleviate","positive",1
"alleviation","positive",1
"alliance","trust",1
"allied","positive",1
"allied","trust",1
"allowable","positive",1
"allure","anticipation",1
"allure","joy",1
"allure","positive",1
"allure","surprise",1
"alluring","positive",1
"ally","positive",1
"ally","trust",1
"almighty","positive",1
"aloha","anticipation",1
"aloha","joy",1
"aloha","positive",1
"aloof","negative",1
"altercation","anger",1
"altercation","negative",1
"amaze","surprise",1
"amazingly","joy",1
"amazingly","positive",1
"amazingly","surprise",1
"ambassador","positive",1
"ambassador","trust",1
"ambiguous","negative",1
"ambition","anticipation",1
"ambition","joy",1
"ambition","positive",1
"ambition","trust",1
"ambulance","fear",1
"ambulance","trust",1
"ambush","anger",1
"ambush","fear",1
"ambush","negative",1
"ambush","surprise",1
"ameliorate","positive",1
"amen","joy",1
"amen","positive",1
"amen","trust",1
"amenable","positive",1
"amend","positive",1
"amends","positive",1
"amenity","positive",1
"amiable","positive",1
"amicable","joy",1
"amicable","positive",1
"ammonia","disgust",1
"amnesia","negative",1
"amnesty","joy",1
"amnesty","positive",1
"amortization","trust",1
"amour","anticipation",1
"amour","joy",1
"amour","positive",1
"amour","trust",1
"amphetamines","disgust",1
"amphetamines","negative",1
"amuse","joy",1
"amuse","positive",1
"amused","joy",1
"amused","positive",1
"amusement","joy",1
"amusement","positive",1
"amusing","joy",1
"amusing","positive",1
"anaconda","disgust",1
"anaconda","fear",1
"anaconda","negative",1
"anal","negative",1
"analyst","anticipation",1
"analyst","positive",1
"analyst","trust",1
"anarchism","anger",1
"anarchism","fear",1
"anarchism","negative",1
"anarchist","anger",1
"anarchist","fear",1
"anarchist","negative",1
"anarchy","anger",1
"anarchy","fear",1
"anarchy","negative",1
"anathema","anger",1
"anathema","disgust",1
"anathema","fear",1
"anathema","negative",1
"anathema","sadness",1
"ancestral","trust",1
"anchor","positive",1
"anchorage","positive",1
"anchorage","sadness",1
"ancient","negative",1
"angel","anticipation",1
"angel","joy",1
"angel","positive",1
"angel","surprise",1
"angel","trust",1
"angelic","joy",1
"angelic","positive",1
"angelic","trust",1
"anger","anger",1
"anger","negative",1
"angina","fear",1
"angina","negative",1
"angling","anticipation",1
"angling","negative",1
"angry","anger",1
"angry","disgust",1
"angry","negative",1
"anguish","anger",1
"anguish","fear",1
"anguish","negative",1
"anguish","sadness",1
"animate","positive",1
"animated","joy",1
"animated","positive",1
"animosity","anger",1
"animosity","disgust",1
"animosity","fear",1
"animosity","negative",1
"animosity","sadness",1
"animus","anger",1
"animus","negative",1
"annihilate","anger",1
"annihilate","fear",1
"annihilate","negative",1
"annihilated","anger",1
"annihilated","fear",1
"annihilated","negative",1
"annihilated","sadness",1
"annihilation","anger",1
"annihilation","fear",1
"annihilation","negative",1
"annihilation","sadness",1
"announcement","anticipation",1
"annoy","anger",1
"annoy","disgust",1
"annoy","negative",1
"annoyance","anger",1
"annoyance","disgust",1
"annoyance","negative",1
"annoying","anger",1
"annoying","negative",1
"annul","negative",1
"annulment","negative",1
"annulment","sadness",1
"anomaly","fear",1
"anomaly","negative",1
"anomaly","surprise",1
"anonymous","negative",1
"answerable","trust",1
"antagonism","anger",1
"antagonism","negative",1
"antagonist","anger",1
"antagonist","negative",1
"antagonistic","anger",1
"antagonistic","disgust",1
"antagonistic","negative",1
"anthrax","disgust",1
"anthrax","fear",1
"anthrax","negative",1
"anthrax","sadness",1
"antibiotics","positive",1
"antichrist","anger",1
"antichrist","disgust",1
"antichrist","fear",1
"antichrist","negative",1
"anticipation","anticipation",1
"anticipatory","anticipation",1
"antidote","anticipation",1
"antidote","positive",1
"antidote","trust",1
"antifungal","positive",1
"antifungal","trust",1
"antipathy","anger",1
"antipathy","disgust",1
"antipathy","negative",1
"antiquated","negative",1
"antique","positive",1
"antiseptic","positive",1
"antiseptic","trust",1
"antisocial","anger",1
"antisocial","disgust",1
"antisocial","fear",1
"antisocial","negative",1
"antisocial","sadness",1
"antithesis","anger",1
"antithesis","negative",1
"anxiety","anger",1
"anxiety","anticipation",1
"anxiety","fear",1
"anxiety","negative",1
"anxiety","sadness",1
"anxious","anticipation",1
"anxious","fear",1
"anxious","negative",1
"apache","fear",1
"apache","negative",1
"apathetic","negative",1
"apathetic","sadness",1
"apathy","negative",1
"apathy","sadness",1
"aphid","disgust",1
"aphid","negative",1
"aplomb","positive",1
"apologetic","positive",1
"apologetic","trust",1
"apologize","positive",1
"apologize","sadness",1
"apologize","trust",1
"apology","positive",1
"apostle","positive",1
"apostle","trust",1
"apostolic","trust",1
"appalling","disgust",1
"appalling","fear",1
"appalling","negative",1
"apparition","fear",1
"apparition","surprise",1
"appeal","anticipation",1
"appendicitis","fear",1
"appendicitis","negative",1
"appendicitis","sadness",1
"applause","joy",1
"applause","positive",1
"applause","surprise",1
"applause","trust",1
"applicant","anticipation",1
"appreciation","joy",1
"appreciation","positive",1
"appreciation","trust",1
"apprehend","fear",1
"apprehension","fear",1
"apprehension","negative",1
"apprehensive","anticipation",1
"apprehensive","fear",1
"apprehensive","negative",1
"apprentice","trust",1
"approaching","anticipation",1
"approbation","positive",1
"approbation","trust",1
"appropriation","negative",1
"approval","positive",1
"approve","joy",1
"approve","positive",1
"approve","trust",1
"approving","positive",1
"apt","positive",1
"aptitude","positive",1
"arbiter","trust",1
"arbitration","anticipation",1
"arbitrator","trust",1
"archaeology","anticipation",1
"archaeology","positive",1
"archaic","negative",1
"architecture","trust",1
"ardent","anticipation",1
"ardent","joy",1
"ardent","positive",1
"ardor","positive",1
"arduous","negative",1
"argue","anger",1
"argue","negative",1
"argument","anger",1
"argument","negative",1
"argumentation","anger",1
"argumentative","negative",1
"arguments","anger",1
"arid","negative",1
"arid","sadness",1
"aristocracy","positive",1
"aristocratic","positive",1
"armament","anger",1
"armament","fear",1
"armaments","fear",1
"armaments","negative",1
"armed","anger",1
"armed","fear",1
"armed","negative",1
"armed","positive",1
"armor","fear",1
"armor","positive",1
"armor","trust",1
"armored","fear",1
"armory","trust",1
"aroma","positive",1
"arouse","anticipation",1
"arouse","positive",1
"arraignment","anger",1
"arraignment","fear",1
"arraignment","negative",1
"arraignment","sadness",1
"array","positive",1
"arrears","negative",1
"arrest","negative",1
"arrival","anticipation",1
"arrive","anticipation",1
"arrogance","negative",1
"arrogant","anger",1
"arrogant","disgust",1
"arrogant","negative",1
"arsenic","disgust",1
"arsenic","fear",1
"arsenic","negative",1
"arsenic","sadness",1
"arson","anger",1
"arson","fear",1
"arson","negative",1
"art","anticipation",1
"art","joy",1
"art","positive",1
"art","sadness",1
"art","surprise",1
"articulate","positive",1
"articulation","positive",1
"artillery","fear",1
"artillery","negative",1
"artisan","positive",1
"artiste","positive",1
"artistic","positive",1
"ascendancy","positive",1
"ascent","positive",1
"ash","negative",1
"ashamed","disgust",1
"ashamed","negative",1
"ashamed","sadness",1
"ashes","negative",1
"ashes","sadness",1
"asp","fear",1
"aspiration","anticipation",1
"aspiration","joy",1
"aspiration","positive",1
"aspiration","surprise",1
"aspiration","trust",1
"aspire","anticipation",1
"aspire","joy",1
"aspire","positive",1
"aspiring","anticipation",1
"aspiring","joy",1
"aspiring","positive",1
"aspiring","trust",1
"ass","negative",1
"assail","anger",1
"assail","fear",1
"assail","negative",1
"assail","surprise",1
"assailant","anger",1
"assailant","fear",1
"assailant","negative",1
"assailant","sadness",1
"assassin","anger",1
"assassin","fear",1
"assassin","negative",1
"assassin","sadness",1
"assassinate","anger",1
"assassinate","fear",1
"assassinate","negative",1
"assassination","anger",1
"assassination","fear",1
"assassination","negative",1
"assassination","sadness",1
"assault","anger",1
"assault","fear",1
"assault","negative",1
"assembly","positive",1
"assembly","trust",1
"assent","positive",1
"asserting","positive",1
"asserting","trust",1
"assessment","surprise",1
"assessment","trust",1
"assessor","trust",1
"assets","positive",1
"asshole","anger",1
"asshole","disgust",1
"asshole","negative",1
"assignee","trust",1
"assist","positive",1
"assist","trust",1
"assistance","positive",1
"associate","positive",1
"associate","trust",1
"association","trust",1
"assuage","positive",1
"assurance","positive",1
"assurance","trust",1
"assure","trust",1
"assured","positive",1
"assured","trust",1
"assuredly","trust",1
"astonishingly","positive",1
"astonishingly","surprise",1
"astonishment","joy",1
"astonishment","positive",1
"astonishment","surprise",1
"astray","fear",1
"astray","negative",1
"astringent","negative",1
"astrologer","anticipation",1
"astrologer","positive",1
"astronaut","positive",1
"astronomer","anticipation",1
"astronomer","positive",1
"astute","positive",1
"asylum","fear",1
"asylum","negative",1
"asymmetry","disgust",1
"atheism","negative",1
"atherosclerosis","fear",1
"atherosclerosis","negative",1
"atherosclerosis","sadness",1
"athlete","positive",1
"athletic","positive",1
"atom","positive",1
"atone","anticipation",1
"atone","joy",1
"atone","positive",1
"atone","trust",1
"atonement","positive",1
"atrocious","anger",1
"atrocious","disgust",1
"atrocious","negative",1
"atrocity","anger",1
"atrocity","disgust",1
"atrocity","fear",1
"atrocity","negative",1
"atrocity","sadness",1
"atrophy","disgust",1
"atrophy","fear",1
"atrophy","negative",1
"atrophy","sadness",1
"attachment","positive",1
"attack","anger",1
"attack","fear",1
"attack","negative",1
"attacking","anger",1
"attacking","disgust",1
"attacking","fear",1
"attacking","negative",1
"attacking","sadness",1
"attacking","surprise",1
"attainable","anticipation",1
"attainable","positive",1
"attainment","positive",1
"attempt","anticipation",1
"attendance","anticipation",1
"attendant","positive",1
"attendant","trust",1
"attention","positive",1
"attentive","positive",1
"attentive","trust",1
"attenuated","negative",1
"attenuation","negative",1
"attenuation","sadness",1
"attest","positive",1
"attest","trust",1
"attestation","trust",1
"attorney","anger",1
"attorney","fear",1
"attorney","positive",1
"attorney","trust",1
"attraction","positive",1
"attractiveness","positive",1
"auction","anticipation",1
"audacity","negative",1
"audience","anticipation",1
"auditor","fear",1
"auditor","trust",1
"augment","positive",1
"august","positive",1
"aunt","positive",1
"aunt","trust",1
"aura","positive",1
"auspicious","anticipation",1
"auspicious","joy",1
"auspicious","positive",1
"austere","fear",1
"austere","negative",1
"austere","sadness",1
"austerity","negative",1
"authentic","joy",1
"authentic","positive",1
"authentic","trust",1
"authenticate","trust",1
"authentication","trust",1
"authenticity","positive",1
"authenticity","trust",1
"author","positive",1
"author","trust",1
"authoritative","positive",1
"authoritative","trust",1
"authority","positive",1
"authority","trust",1
"authorization","positive",1
"authorization","trust",1
"authorize","trust",1
"authorized","positive",1
"autocratic","negative",1
"automatic","trust",1
"autopsy","disgust",1
"autopsy","fear",1
"autopsy","negative",1
"autopsy","sadness",1
"avalanche","fear",1
"avalanche","negative",1
"avalanche","sadness",1
"avalanche","surprise",1
"avarice","anger",1
"avarice","disgust",1
"avarice","negative",1
"avatar","positive",1
"avenger","anger",1
"avenger","negative",1
"averse","anger",1
"averse","disgust",1
"averse","fear",1
"averse","negative",1
"aversion","anger",1
"aversion","disgust",1
"aversion","fear",1
"aversion","negative",1
"avoid","fear",1
"avoid","negative",1
"avoidance","fear",1
"avoidance","negative",1
"avoiding","fear",1
"await","anticipation",1
"award","anticipation",1
"award","joy",1
"award","positive",1
"award","surprise",1
"award","trust",1
"awful","anger",1
"awful","disgust",1
"awful","fear",1
"awful","negative",1
"awful","sadness",1
"awkwardness","disgust",1
"awkwardness","negative",1
"awry","negative",1
"axiom","trust",1
"axiomatic","trust",1
"ay","positive",1
"aye","positive",1
"babble","negative",1
"babbling","negative",1
"baboon","disgust",1
"baboon","negative",1
"baby","joy",1
"baby","positive",1
"babysitter","trust",1
"baccalaureate","positive",1
"backbone","anger",1
"backbone","positive",1
"backbone","trust",1
"backer","trust",1
"backward","negative",1
"backwards","disgust",1
"backwards","negative",1
"backwater","negative",1
"backwater","sadness",1
"bacteria","disgust",1
"bacteria","fear",1
"bacteria","negative",1
"bacteria","sadness",1
"bacterium","disgust",1
"bacterium","fear",1
"bacterium","negative",1
"bad","anger",1
"bad","disgust",1
"bad","fear",1
"bad","negative",1
"bad","sadness",1
"badge","trust",1
"badger","anger",1
"badger","negative",1
"badly","negative",1
"badly","sadness",1
"badness","anger",1
"badness","disgust",1
"badness","fear",1
"badness","negative",1
"bailiff","fear",1
"bailiff","negative",1
"bailiff","trust",1
"bait","fear",1
"bait","negative",1
"bait","trust",1
"balance","positive",1
"balanced","positive",1
"bale","fear",1
"bale","negative",1
"balk","negative",1
"ballad","positive",1
"ballet","positive",1
"ballot","anticipation",1
"ballot","positive",1
"ballot","trust",1
"balm","anticipation",1
"balm","joy",1
"balm","negative",1
"balm","positive",1
"balsam","positive",1
"ban","negative",1
"bandit","negative",1
"bane","anger",1
"bane","disgust",1
"bane","fear",1
"bane","negative",1
"bang","anger",1
"bang","disgust",1
"bang","fear",1
"bang","negative",1
"bang","sadness",1
"bang","surprise",1
"banger","anger",1
"banger","anticipation",1
"banger","fear",1
"banger","negative",1
"banger","surprise",1
"banish","anger",1
"banish","disgust",1
"banish","fear",1
"banish","negative",1
"banish","sadness",1
"banished","anger",1
"banished","fear",1
"banished","negative",1
"banished","sadness",1
"banishment","anger",1
"banishment","disgust",1
"banishment","negative",1
"banishment","sadness",1
"bank","trust",1
"banker","trust",1
"bankrupt","fear",1
"bankrupt","negative",1
"bankrupt","sadness",1
"bankruptcy","anger",1
"bankruptcy","disgust",1
"bankruptcy","fear",1
"bankruptcy","negative",1
"bankruptcy","sadness",1
"banquet","anticipation",1
"banquet","joy",1
"banquet","positive",1
"banshee","anger",1
"banshee","disgust",1
"banshee","fear",1
"banshee","negative",1
"banshee","sadness",1
"baptism","positive",1
"baptismal","joy",1
"baptismal","positive",1
"barb","anger",1
"barb","negative",1
"barbarian","fear",1
"barbarian","negative",1
"barbaric","anger",1
"barbaric","disgust",1
"barbaric","fear",1
"barbaric","negative",1
"barbarism","negative",1
"bard","positive",1
"barf","disgust",1
"bargain","positive",1
"bargain","trust",1
"bark","anger",1
"bark","negative",1
"barred","negative",1
"barren","negative",1
"barren","sadness",1
"barricade","fear",1
"barricade","negative",1
"barrier","anger",1
"barrier","negative",1
"barrow","disgust",1
"bartender","trust",1
"barter","trust",1
"base","trust",1
"baseless","negative",1
"basketball","anticipation",1
"basketball","joy",1
"basketball","positive",1
"bastard","disgust",1
"bastard","negative",1
"bastard","sadness",1
"bastion","anger",1
"bastion","positive",1
"bath","positive",1
"battalion","anger",1
"batter","anger",1
"batter","fear",1
"batter","negative",1
"battered","fear",1
"battered","negative",1
"battered","sadness",1
"battery","anger",1
"battery","negative",1
"battle","anger",1
"battle","negative",1
"battled","anger",1
"battled","fear",1
"battled","negative",1
"battled","sadness",1
"battlefield","fear",1
"battlefield","negative",1
"bawdy","negative",1
"bayonet","anger",1
"bayonet","fear",1
"bayonet","negative",1
"beach","joy",1
"beam","joy",1
"beam","positive",1
"beaming","anticipation",1
"beaming","joy",1
"beaming","positive",1
"bear","anger",1
"bear","fear",1
"bearer","negative",1
"bearish","anger",1
"bearish","fear",1
"beast","anger",1
"beast","fear",1
"beast","negative",1
"beastly","disgust",1
"beastly","fear",1
"beastly","negative",1
"beating","anger",1
"beating","fear",1
"beating","negative",1
"beating","sadness",1
"beautification","joy",1
"beautification","positive",1
"beautification","trust",1
"beautiful","joy",1
"beautiful","positive",1
"beautify","joy",1
"beautify","positive",1
"beauty","joy",1
"beauty","positive",1
"bedrock","positive",1
"bedrock","trust",1
"bee","anger",1
"bee","fear",1
"beer","joy",1
"beer","positive",1
"befall","negative",1
"befitting","positive",1
"befriend","joy",1
"befriend","positive",1
"befriend","trust",1
"beg","negative",1
"beg","sadness",1
"beggar","negative",1
"beggar","sadness",1
"begging","negative",1
"begun","anticipation",1
"behemoth","fear",1
"behemoth","negative",1
"beholden","negative",1
"belated","negative",1
"believed","trust",1
"believer","trust",1
"believing","positive",1
"believing","trust",1
"belittle","anger",1
"belittle","disgust",1
"belittle","fear",1
"belittle","negative",1
"belittle","sadness",1
"belligerent","anger",1
"belligerent","fear",1
"belligerent","negative",1
"bellows","anger",1
"belt","anger",1
"belt","fear",1
"belt","negative",1
"bender","negative",1
"benefactor","positive",1
"benefactor","trust",1
"beneficial","positive",1
"benefit","positive",1
"benevolence","joy",1
"benevolence","positive",1
"benevolence","trust",1
"benign","joy",1
"benign","positive",1
"bequest","trust",1
"bereaved","negative",1
"bereaved","sadness",1
"bereavement","negative",1
"bereavement","sadness",1
"bereft","negative",1
"berserk","anger",1
"berserk","negative",1
"berth","positive",1
"bestial","disgust",1
"bestial","fear",1
"bestial","negative",1
"betray","anger",1
"betray","disgust",1
"betray","negative",1
"betray","sadness",1
"betray","surprise",1
"betrayal","anger",1
"betrayal","disgust",1
"betrayal","negative",1
"betrayal","sadness",1
"betrothed","anticipation",1
"betrothed","joy",1
"betrothed","positive",1
"betrothed","trust",1
"betterment","positive",1
"beverage","positive",1
"beware","anticipation",1
"beware","fear",1
"beware","negative",1
"bewildered","fear",1
"bewildered","negative",1
"bewildered","surprise",1
"bewilderment","fear",1
"bewilderment","surprise",1
"bias","anger",1
"bias","negative",1
"biased","negative",1
"biblical","positive",1
"bickering","anger",1
"bickering","disgust",1
"bickering","negative",1
"biennial","anticipation",1
"bier","fear",1
"bier","negative",1
"bier","sadness",1
"bigot","anger",1
"bigot","disgust",1
"bigot","fear",1
"bigot","negative",1
"bigoted","anger",1
"bigoted","disgust",1
"bigoted","fear",1
"bigoted","negative",1
"bigoted","sadness",1
"bile","anger",1
"bile","disgust",1
"bile","negative",1
"bilingual","positive",1
"biopsy","fear",1
"biopsy","negative",1
"birch","anger",1
"birch","disgust",1
"birch","fear",1
"birch","negative",1
"birth","anticipation",1
"birth","fear",1
"birth","joy",1
"birth","positive",1
"birth","trust",1
"birthday","anticipation",1
"birthday","joy",1
"birthday","positive",1
"birthday","surprise",1
"birthplace","anger",1
"birthplace","negative",1
"bitch","anger",1
"bitch","disgust",1
"bitch","fear",1
"bitch","negative",1
"bitch","sadness",1
"bite","negative",1
"bitterly","anger",1
"bitterly","disgust",1
"bitterly","negative",1
"bitterly","sadness",1
"bitterness","anger",1
"bitterness","disgust",1
"bitterness","negative",1
"bitterness","sadness",1
"bizarre","negative",1
"bizarre","surprise",1
"black","negative",1
"black","sadness",1
"blackjack","negative",1
"blackmail","anger",1
"blackmail","fear",1
"blackmail","negative",1
"blackness","fear",1
"blackness","negative",1
"blackness","sadness",1
"blame","anger",1
"blame","disgust",1
"blame","negative",1
"blameless","positive",1
"bland","negative",1
"blanket","trust",1
"blasphemous","anger",1
"blasphemous","disgust",1
"blasphemous","negative",1
"blasphemy","anger",1
"blasphemy","negative",1
"blast","anger",1
"blast","fear",1
"blast","negative",1
"blast","surprise",1
"blatant","anger",1
"blatant","disgust",1
"blatant","negative",1
"blather","negative",1
"blaze","anger",1
"blaze","negative",1
"bleak","negative",1
"bleak","sadness",1
"bleeding","disgust",1
"bleeding","fear",1
"bleeding","negative",1
"bleeding","sadness",1
"blemish","anger",1
"blemish","disgust",1
"blemish","fear",1
"blemish","negative",1
"blemish","sadness",1
"bless","anticipation",1
"bless","joy",1
"bless","positive",1
"bless","trust",1
"blessed","joy",1
"blessed","positive",1
"blessing","anticipation",1
"blessing","joy",1
"blessing","positive",1
"blessing","trust",1
"blessings","anticipation",1
"blessings","joy",1
"blessings","positive",1
"blessings","surprise",1
"blessings","trust",1
