X.AUTHID,FEA1,FEA2,FEA3,FEA_NRC1,FEA_NRC2,FEA_NRC3
b'https://atyourservice.blogs.xerox.com/page/9/',Xerox has been committed to sustainability and Stop the presses!,With Xerox Remote Print Services you can manage your Xerox printers with minimal How would you like your Xerox support?,Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.,Xerox has been committed to sustainability and Stop the presses!,With Xerox Remote Print Services you can manage your Xerox printers with minimal How would you like your Xerox support?,Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
b'https://atyourservice.blogs.xerox.com/category/support-tools/page/7/',Yes your Xerox printer or multifunction device Happy New Year!,"New Year, New Start!",I always feel like the New Year is a new beginning.,Yes your Xerox printer or multifunction device Happy New Year!,"New Year, New Start!",I always feel like the New Year is a new beginning.
b'https://connect.blogs.xerox.com/author/laurie-riedman/',Xerox data scientists consider algorithms that can prevent biased analytics.,By sessions with our customers help Xerox transform into a services company.,Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.,Xerox data scientists consider algorithms that can prevent biased analytics.,By sessions with our customers help Xerox transform into a services company.,Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
b'https://enterprisematters.blogs.xerox.com/author/guestcontributor/page/4/',"time complaining about consumerization and how managing employee-owned devices is such a huge By With the glut of marketing data available, it easy to understand why decision makers feel overwhelmed and too time-constrained to e the most effective method(s) of By Todd Smith, Xerox Corp. Can you imagine a world and workplace without smartphones?","CIO.com posted a slideshow about eight business and consumer By By Don Di, senior vice president, Global Document Outsourcing, Xerox There no question the workplace is changing in fact, it not really a place at all Select list(s): Leslie Long says: Christina G Bolin says: Christina G Bolin says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.,"time complaining about consumerization and how managing employee-owned devices is such a huge By With the glut of marketing data available, it easy to understand why decision makers feel overwhelmed and too time-constrained to e the most effective method(s) of By Todd Smith, Xerox Corp. Can you imagine a world and workplace without smartphones?","CIO.com posted a slideshow about eight business and consumer By By Don Di, senior vice president, Global Document Outsourcing, Xerox There no question the workplace is changing in fact, it not really a place at all Select list(s): Leslie Long says: Christina G Bolin says: Christina G Bolin says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
b'https://www.citrix.com/blogs/2017/05/17/citrix-cloud-at-synergy-dont-take-my-word-for-it/',"Ill be hosting a unique set of customersat ;, SYN109, (Wednesday May 24, 4:45pm) where well have a discussion and audience-driven Q&A with 4 Citrix Cloud customers:;Well cut the marketing fluff.","Just candid, matter-of-fact discussions about:;Ken is Sr. Director of Product Marketing in Citrix's Cloud Services group, and spends most of his time helping lead the charge to converge concepts of cloud computing, virtual workspaces, and hosted service providers.","One of the key differentiators ; Citrix VP of WW Sales and Strategy, Ash Vijayakanthan shares his thoughts on the benefits Citrix Cloud brings for Citrix Service Providers ; NetScaler Management and Analytics from Citrix allows administrators to easily view, automate, and manage all their application infrastructure, as well ;Dont worry, you can unsubscribe at anytime.","Ill be hosting a unique set of customersat ;, SYN109, (Wednesday May 24, 4:45pm) where well have a discussion and audience-driven Q&A with 4 Citrix Cloud customers:;Well cut the marketing fluff.","Just candid, matter-of-fact discussions about:;Ken is Sr. Director of Product Marketing in Citrix's Cloud Services group, and spends most of his time helping lead the charge to converge concepts of cloud computing, virtual workspaces, and hosted service providers.","One of the key differentiators ; Citrix VP of WW Sales and Strategy, Ash Vijayakanthan shares his thoughts on the benefits Citrix Cloud brings for Citrix Service Providers ; NetScaler Management and Analytics from Citrix allows administrators to easily view, automate, and manage all their application infrastructure, as well ;Dont worry, you can unsubscribe at anytime."
b'https://atyourservice.blogs.xerox.com/author/gigi-zakhary/',With Xerox By Spend more time on your work and less time managing your Xerox devices.,With Xerox Remote Print Services you can manage your Xerox printers with minimal By This doesn seem like the correct charge for my Xerox device usage; that meter read is not even close.,Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.,With Xerox By Spend more time on your work and less time managing your Xerox devices.,With Xerox Remote Print Services you can manage your Xerox printers with minimal By This doesn seem like the correct charge for my Xerox device usage; that meter read is not even close.,Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
b'https://smallbusinesssolutions.blogs.xerox.com/author/icbgguestblogger/page/2/',"Email By In a Small Business Solutions article published earlier this year ( Business New Year Resolution: Don Stop Emailing), I argued that email solicitations should remain an By If you like me, the term advertising is somewhat new to you.",That true in our personal lives as well as in business.,"But as any successful small-business owner will attest, improving By The Phaser 7100 Color Printer has been awarded the Choice designation by PC Magazine.","Email By In a Small Business Solutions article published earlier this year ( Business New Year Resolution: Don Stop Emailing), I argued that email solicitations should remain an By If you like me, the term advertising is somewhat new to you.",That true in our personal lives as well as in business.,"But as any successful small-business owner will attest, improving By The Phaser 7100 Color Printer has been awarded the Choice designation by PC Magazine."
b'https://enterprisematters.blogs.xerox.com/category/mobile-workforce/page/5/', Sometimes we talk about mobile workers as if they were a subset of the overall employee population.,"The e suite and the legal team Supporting mobile workers is no longer an option, but it can still be a burden one that falls squarely on IT shoulders.","Enterprise IT managers By Dan Stark, Offering Manager, Mobile Print, Xerox Corp. As enterprises face an increasingly mobile workforce, they struggle to adapt legacy document workflow to a mobile document Select list(s): Leslie Long says: Christina G Bolin says: Christina G Bolin says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation.", Sometimes we talk about mobile workers as if they were a subset of the overall employee population.,"The e suite and the legal team Supporting mobile workers is no longer an option, but it can still be a burden one that falls squarely on IT shoulders.","Enterprise IT managers By Dan Stark, Offering Manager, Mobile Print, Xerox Corp. As enterprises face an increasingly mobile workforce, they struggle to adapt legacy document workflow to a mobile document Select list(s): Leslie Long says: Christina G Bolin says: Christina G Bolin says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation."
b'http://global-sei.com/company/press/2016/08/prs064.html',"Press Release; August 2, 2016 ;Sumitomo Electric Industries, Ltd.; ;The Japan Regional Quality Award (Electric Category) is the motor company's top award praising the quality of products delivered in the domestic electric category.","President of Sumitomo Electric Masayoshi Matsumoto attended the 2016 Nissan Global Award ceremony, held on July 12, where a certification of commendation and trophy were presented by E Vice President of Nissan Kimiyasu Nakamura.",";Left: Mr. Kimiyasu Nakamura, E Vice President of Nissan; and right: Masayoshi Matsumoto, President of Sumitomo Electric;Certificate of commendation","Press Release; August 2, 2016 ;Sumitomo Electric Industries, Ltd.; ;The Japan Regional Quality Award (Electric Category) is the motor company's top award praising the quality of products delivered in the domestic electric category.","President of Sumitomo Electric Masayoshi Matsumoto attended the 2016 Nissan Global Award ceremony, held on July 12, where a certification of commendation and trophy were presented by E Vice President of Nissan Kimiyasu Nakamura.",";Left: Mr. Kimiyasu Nakamura, E Vice President of Nissan; and right: Masayoshi Matsumoto, President of Sumitomo Electric;Certificate of commendation"
b'https://enterprisematters.blogs.xerox.com/category/document-workflow/page/3/',"Today that job Guest post by Edd Nicklin, Director, Tipac, Ltd.",This post originally appeared on the Tipac blog.,Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.,"Today that job Guest post by Edd Nicklin, Director, Tipac, Ltd.",This post originally appeared on the Tipac blog.,We say it Select list(s): Leslie Long says: Christina G Bolin says: Christina G Bolin says: Facebook Twitter Google +1 LinkedIn Youtube Select list(s): 2017 Xerox Corporation.
b'https://smallbusinesssolutions.blogs.xerox.com/category/information-security/page/5/',"A CDW study published in October 2012 finds that, businesses get a competitive lift from their employees use of mobile devices and that employees mostly deliver For small business owners, getting to a point where it very difficult to ignore technology, said analyst Laurie McCabe, co-founder and partner of the SMB Paul Criswell, Product Marketing ManagerXerox Indirect Channels Business GroupIT departments, big and small, are challenged every day on multiple fronts.",They wear a number of different Select list(s): pius sumba says: TPM Best Practices says: azimmer says: Facebook Twitter LinkedIn Youtube Select list(s): 2017 Xerox Corporation.,Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.,"A CDW study published in October 2012 finds that, businesses get a competitive lift from their employees use of mobile devices and that employees mostly deliver For small business owners, getting to a point where it very difficult to ignore technology, said analyst Laurie McCabe, co-founder and partner of the SMB Paul Criswell, Product Marketing ManagerXerox Indirect Channels Business GroupIT departments, big and small, are challenged every day on multiple fronts.",They wear a number of different Select list(s): pius sumba says: TPM Best Practices says: azimmer says: Facebook Twitter LinkedIn Youtube Select list(s): 2017 Xerox Corporation.,Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
b'https://smallbusinesssolutions.blogs.xerox.com/category/uncategorized/page/3/'," The Xerox Wireless Print Solutions Adapter seamlessly connects your Xerox printer or MFP to modern mobile and desktop workflows, regardless of your office environment.","But unfortunately for small-business owners, there has yet to As the pace of business continues to accelerate, people need tools to ma productivity and keep costs in check.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.," The Xerox Wireless Print Solutions Adapter seamlessly connects your Xerox printer or MFP to modern mobile and desktop workflows, regardless of your office environment.","But unfortunately for small-business owners, there has yet to As the pace of business continues to accelerate, people need tools to ma productivity and keep costs in check.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
b'http://blogs.zebra.com/save-the-date-zebra-hosts-talkiot-twitter-chat-on-10/15',"Its simple just log onto Twitter from 3:15 pm to 4:15 pm CT on Wednesday, October 15; and search #TalkIoT!",";A Twitter Chat is a live discussion that takes place on Twitter, powered by a consistently used hashtag.","Hashtags are a crowd-sourced solution to organize conversations on Twitter around a specific term with a pound sign in front of it (ex: #IoTChat, #RFIDchat).","Its simple just log onto Twitter from 3:15 pm to 4:15 pm CT on Wednesday, October 15; and search #TalkIoT!",";A Twitter Chat is a live discussion that takes place on Twitter, powered by a consistently used hashtag.","Hashtags are a crowd-sourced solution to organize conversations on Twitter around a specific term with a pound sign in front of it (ex: #IoTChat, #RFIDchat)."
b'https://atyourservice.blogs.xerox.com/category/technology/', Security is always a priority with Xerox printers and multifunction printers.,"One thing you need to remember is that many of the Xerox products have memory Today I am sharing with you a blog article from the Xerox blog, Xerox Connect.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries., Security is always a priority with Xerox printers and multifunction printers.,"One thing you need to remember is that many of the Xerox products have memory Today I am sharing with you a blog article from the Xerox blog, Xerox Connect.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
b'https://blog.fitbit.com/heres-why-harrison-barnes-always-gets-in-his-steps-before-sitting-down-to-play/',On this site click on the button entitled Connect with Fitbit to get started.,Hope this helps!,On this site click on the button entitled Connect with Fitbit to get started.,On this site click on the button entitled Connect with Fitbit to get started.,Hope this helps!,On this site click on the button entitled Connect with Fitbit to get started.
b'https://connect.blogs.xerox.com/category/general/page/7/',"Barbara Basney, vice president, Global Advertising and Media, Xerox Do you know Why does Xerox is a stray cat in Madison, Wisconsin.","Gregory Pings, content marketing manager for Xerox This story is about a cat named Xerox.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.,"Barbara Basney, vice president, Global Advertising and Media, Xerox Do you know Why does Xerox is a stray cat in Madison, Wisconsin.","Gregory Pings, content marketing manager for Xerox This story is about a cat named Xerox.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
b'https://smallbusinesssolutions.blogs.xerox.com/category/document-management/page/3/',Why is it so important to mobile?,"Mobile searches in general are on the rise, and mobile searches for something me are growing by 146 percent year-over-year, reports Google.",The mobile worker is an essential part of every small business.,Why is it so important to mobile?,"Mobile searches in general are on the rise, and mobile searches for something me are growing by 146 percent year-over-year, reports Google.",The mobile worker is an essential part of every small business.
b'https://smallbusinesssolutions.blogs.xerox.com/category/sustainability/page/4/'," Manager, Product MarketingXerox Indirect Channels Business GroupThere is talk in the office printing and imaging industry that Xerox solid ink technology is not environmentally-friendly because it Manager, Product MarketingXerox Indirect Channels Business GroupDuplex that a crazy word.","The first result was Aaron Slindee, Marketing AnalystXerox Indirect Channels Business GroupSince the inception of paperless media like the e-book and electronic bills, an ongoing debate has developed about Manager, Product MarketingXerox Indirect Channels Business GroupIt takes two to tango.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.," Manager, Product MarketingXerox Indirect Channels Business GroupThere is talk in the office printing and imaging industry that Xerox solid ink technology is not environmentally-friendly because it Manager, Product MarketingXerox Indirect Channels Business GroupDuplex that a crazy word.","The first result was Aaron Slindee, Marketing AnalystXerox Indirect Channels Business GroupSince the inception of paperless media like the e-book and electronic bills, an ongoing debate has developed about Manager, Product MarketingXerox Indirect Channels Business GroupIt takes two to tango.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
b'http://blog.searsholdings.com/author/shc-staff/page/4/',The following illustration provides an at-a-glance view of the opportunities we are focused on and how we are e against each by Sears Holdings scored 100 percent on the Human Rights Campaign (HRC) Foundation 2017 Corporate Equality Index.,This perfect score is a testament to our commitment to equality through programs that reinforce inclusiveness of all associates and an understanding that diversity is a key business imperative by We brought our Sears Secret Santa Sweepstakes back for the holiday!,"Now through Friday, Dec. 9, watch Wheel of Fortune for the fifth annual Sears Secret Santa Sweepstakes.",The following illustration provides an at-a-glance view of the opportunities we are focused on and how we are e against each by Sears Holdings scored 100 percent on the Human Rights Campaign (HRC) Foundation 2017 Corporate Equality Index.,This perfect score is a testament to our commitment to equality through programs that reinforce inclusiveness of all associates and an understanding that diversity is a key business imperative by We brought our Sears Secret Santa Sweepstakes back for the holiday!,"Now through Friday, Dec. 9, watch Wheel of Fortune for the fifth annual Sears Secret Santa Sweepstakes."
b'https://blog.fitbit.com/category/fitbit-news/product-announcements/page/5/',;Give your mind and body a little love with these Fitbit tracker-supported self-care ideas.,;Everything you love about the Fitbit community is now in your app!,";Fitstar Personal Trainer app now offers smart workout recommendations in your Fitbit app, plus easy access to a library of e videos, in-app radio, and more.",;Give your mind and body a little love with these Fitbit tracker-supported self-care ideas.,;Everything you love about the Fitbit community is now in your app!,";Fitstar Personal Trainer app now offers smart workout recommendations in your Fitbit app, plus easy access to a library of e videos, in-app radio, and more."
b'https://connect.blogs.xerox.com/2014/07/14/summer-travel-keep-your-data-and-devices-secure/',"Here are tips and best practices that can keep your information and devices secure: Mark Leary, chief information security officer for Xerox If a device isn absolutely required for your trip, leave it at home turned off, locked, and protected by a password.",More tips on good information security practices are .,This is very comprehensively nice piece of information.,"Here are tips and best practices that can keep your information and devices secure: Mark Leary, chief information security officer for Xerox If a device isn absolutely required for your trip, leave it at home turned off, locked, and protected by a password.",More tips on good information security practices are .,This is very comprehensively nice piece of information.
b'https://enterprisematters.blogs.xerox.com/category/ecm/',"Businesses of all sizes have been % of CEOs believe the digital economy will impact their industry, but less than 15% are e on a digital strategy, according to MIT Sloan and It was a great summer.",But Process automation is only one part of Digital Transformation.,Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.,"Businesses of all sizes have been % of CEOs believe the digital economy will impact their industry, but less than 15% are e on a digital strategy, according to MIT Sloan and It was a great summer.",But Process automation is only one part of Digital Transformation.,Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
b'https://enterprisematters.blogs.xerox.com/category/security/page/7/',"If you don know the answer, just Todd Smith, Xerox Corp.","time complaining about consumerization and how managing employee-owned devices is such a huge Todd Smith, Xerox Corp. Can you imagine a world and workplace without smartphones?",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.,"If you don know the answer, just Todd Smith, Xerox Corp.","time complaining about consumerization and how managing employee-owned devices is such a huge Todd Smith, Xerox Corp. Can you imagine a world and workplace without smartphones?",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
b'https://smallbusinesssolutions.blogs.xerox.com/author/icbgguestblogger/page/5/',"Although not a By As my Xerox colleague e in this article on Spiceworks, the online IT support community, the answer to the question in the headline isn e clear By Simon Tune, general manager, Business Development and Marketing Operations, Xerox European Reseller and Supplies Group Resellers are realizing now is the time to embrace managed print services By David Bates, Vice President, Marketing and eCommerce, Xerox North American Resellers Here, there and everywhere.","Thanks to mobile technology, today workforce is getting work done essentially anywhere By If customers are good to have, and repeat customers are even better, then it stands to reason that those who encourage others to turn to your Select list(s): pius sumba says: TPM Best Practices says: azimmer says: Facebook Twitter LinkedIn Youtube Select list(s): 2017 Xerox Corporation.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.,"Although not a By As my Xerox colleague e in this article on Spiceworks, the online IT support community, the answer to the question in the headline isn e clear By Simon Tune, general manager, Business Development and Marketing Operations, Xerox European Reseller and Supplies Group Resellers are realizing now is the time to embrace managed print services By David Bates, Vice President, Marketing and eCommerce, Xerox North American Resellers Here, there and everywhere.","Thanks to mobile technology, today workforce is getting work done essentially anywhere By If customers are good to have, and repeat customers are even better, then it stands to reason that those who encourage others to turn to your Select list(s): pius sumba says: TPM Best Practices says: azimmer says: Facebook Twitter LinkedIn Youtube Select list(s): 2017 Xerox Corporation.",Xerox and Xerox and Design are trademarks of Xerox Corporation in the United States and/or other countries.
