X.AUTHID,resents
b'https://blog.fitbit.com/category/get-moving/page/4/',"['"", and celebrating wedding season with her friendsheres how she plans to rack up the steps on all those big days.', 'This gym workout will help you make the most of small spaces.', ';Head into your goal race, calm, rested, and feeling fast with this pre-race workout.']"
b'https://channelpartner.blogs.xerox.com/author/martin-zwilling/',"['By leading with a problem solving approach, you can show your customers the benefits of investing in new technology and help them boost their productivity, and save time and money.']"
b'http://blog.searsholdings.com/tag/sears-heroes-at-home/',[]
b'https://blog.fitbit.com/workout-pause-function/',['Feeling good about yourself is good for your health ; ; ; Please note: Comments are moderated and may not appear immediately after submission.']
b'https://channelpartner.blogs.xerox.com/category/channel-partners-2/best-practice/page/4/',[]
b'https://enterprisematters.blogs.xerox.com/category/paperless-workflow/page/4/',[]
b'https://channelpartner.blogs.xerox.com/category/channel-partners-2/selling-channel-partners-2/page/2/',[]
b'https://channelpartner.blogs.xerox.com/page/4/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/author/allison-zimmerman/',[]
b'http://blog.searsholdings.com/inside-shc/shcs-associate-resource-groups-partner-to-donate-150-backpacks-and-supplies-to-chicago-school/',[]
b'http://blog.searsholdings.com/tag/sears/page/3/',"['SHC Speaks by Last week, Bethany Knutson of Bedford, Te, received a phone call she won soon forget.']"
b'https://smallbusinesssolutions.blogs.xerox.com/category/document-management/page/2/',"['Is your small business still dealing with file cabinets full of folders and printouts?', 'Whether times are good or bad, minimizing e in your business is always a smart idea.']"
b'https://smallbusinesssolutions.blogs.xerox.com/category/versalink/',[]
b'https://enterprisematters.blogs.xerox.com/category/workflow/page/5/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/sustainability/',"['It seems like we often called to choose between the option that good for our planet, and the one that good for our bottom line.']"
b'http://blog.searsholdings.com/2015/06/',"['The following illustration provides an at-a-glance view of the opportunities we are focused on and how we are e against each by It no secret that sleep deprivation can lead to serious health problems, accidents and even memory issues.']"
b'https://connect.blogs.xerox.com/author/barbara-basney/',[]
b'https://connect.blogs.xerox.com/author/sherry-m-adler/page/3/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/office-technology/page/3/',[]
b'https://channelpartner.blogs.xerox.com/category/channel-partners-2/marketing-channel-partners/page/6/',[]
b'http://blog.searsholdings.com/category/members-first/page/3/',[]
b'https://www.citrix.com/blogs/tag/citrixlife/page/2/',"['The combined brainpower of the engineers, developers, ; ;Dont worry, you can unsubscribe at anytime.']"
b'https://digitalprinting.blogs.xerox.com/category/technology-and-thought-leadership/sales-thought-leadership/page/2/',"['Here how to distance yourself from the competition.', 'This article e how to be successful even with a small social audience.']"
b'https://digitalprinting.blogs.xerox.com/tag/social-media/',"['It impossible to develop relationships with all your social media connections.', 'This real-life case study will give you plenty of ideas.', 'Do prospects ignore your emails and phone calls?', 'Here are 3 unique communication methods to capture the attention of a potential customer.']"
b'http://blog.searsholdings.com/author/shc-staff/',[]
b'http://pressreleases.davita.com/2013-11-15-DaVita-HealthCare-Partners-Inc-Schedules-Capital-Markets-Day-for-December-9-2013',['Investors who are unable to listen live will be able to access the presentation and an audio replay via our web site at .']
b'https://blog.fitbit.com/the-advice-i-give-my-celebrity-clients-that-they-actually-follow/',[]
b'https://channelpartner.blogs.xerox.com/category/channel-partners-2/marketing-channel-partners/page/4/',[]
b'https://connect.blogs.xerox.com/author/suzette-norris/page/3/',"['By A trivia game, a camera, and a correlation between facial e and the player mental state.']"
b'https://digitalprinting.blogs.xerox.com/tag/direct-mail/page/6/',[]
b'https://connect.blogs.xerox.com/author/sherry-m-adler/page/2/',['By Xerox trophy case runneth over.']
b'http://www.mastec.com/en/investors/investors-aboutmastec.aspx',"['Our e has given us a deep and comprehensive understanding of the markets we serve, as well as the ability to effectively manage people, projects and equipment.', 'It allows us to proactively identify challenges, avoid pitfalls, and overcome obstacles, and to accurately set and meet e for schedule and budget.']"
b'https://digitalprinting.blogs.xerox.com/author/nchetron/',[]
b'https://blog.fitbit.com/eager-to-set-a-good-example-for-his-community-this-man-overhauled-his-health/',"['I had gotten up to 259 pounds and knew I wasnt being a good e to others for how to love yourself, but Id ask my wife if I was fat and shed say no and so I just ignored it, he says.', 'He threw out a challenge to all of us to get fit and show what it really means to take care of yourself.', 'Its amazing what we can achieve with some discipline and willpower!', '; ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'https://connect.blogs.xerox.com/2017/06/02/wall-of-innovators-showcases-xeroxs-past-and-future/',[]
b'https://connect.blogs.xerox.com/category/workplace-solutions/page/4/',"['The problem is most data breaches happen by accident, because of people carelessness.', 'Rarely are malicious attacks made intentionally on printers.', 'More likely, it just old-fashioned human error that leaves documents wide open for hacking.', 'It started as an idea between partners committed to finding a better way to serve customers and now it a reality.']"
b'https://enterprisematters.blogs.xerox.com/author/carroford/page/4/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/office-technology/page/4/',"['Small to medium-sized businesses recognizing how complex the security threat landscape is, and how costly it is to protect devices, data and networks.', 'As your small and mid-size business grows and evolves to adapt to your customers demands, you also need to be more productive to be able to deliver on those demands.']"
b'http://blog.searsholdings.com/2014/02/',[]
b'http://blog.searsholdings.com/tag/shop-your-way/',[]
b'http://blogs.zebra.com/voicing-concerns',"[';Cant fault the logic.', 'Customers are pretty comfortable with the concept of internet-based calls, too.', 'Thats the predicament that someone in these companies gets left with (probably you if youre reading this blog).', ';First of all, you need to commit to some minimum standards.']"
b'https://channelpartner.blogs.xerox.com/author/julian-patel/',[]
b'https://channelpartner.blogs.xerox.com/author/mcnall-mason/',['By Finding time to write and publish blogs consistently presents a challenge for 51% of marketers.']
b'https://channelpartner.blogs.xerox.com/category/channel-partners-2/marketing-channel-partners/page/2/',['A picture may be worth a thousand words but one-minute of video is worth 1.8 million words.']
b'https://enterprisematters.blogs.xerox.com/author/carroford/page/8/',[]
b'https://blog.fitbit.com/category/eat-well/',"['Is it impossible?', 'Here are key tips for losing weight at every age.']"
b'http://searsholdings.com/press-releases/pr/1747',"['""Of the thousands of suppliers with whom we do business, our Partners in Progress award recipients have demonstrated the highest level of commitment, quality and leadership - attributes we strive to achieve in everything we do at Sears.', 'Begun almost 20 years ago, the Partners In Progress program recognizes suppliers that make significant contributions to the growth of Sears businesses and the creation of new ways to better serve Sears customers.']"
b'https://smallbusinesssolutions.blogs.xerox.com/2015/05/29/spend-less-time-on-it-issues/',[]
b'https://www.citrix.com/blogs/2017/03/31/netscaler-on-azure-gets-an-upgrade/',"['One of the key differentiators ; Citrix VP of WW Sales and Strategy, Ash Vijayakanthan shares his thoughts on the benefits Citrix Cloud brings for Citrix Service Providers ;Dont worry, you can unsubscribe at anytime.']"
b'https://digitalprinting.blogs.xerox.com/author/heiditolliverwalker/',['This real-life case study will give you plenty of ideas.']
b'https://www.citrix.com/blogs/2015/12/23/el-nino-traffic-the-holidays-netscaler-at-washington-dot/',"['One of the key differentiators ; NetScaler Management and Analytics from Citrix allows administrators to easily view, automate, and manage all their application infrastructure, as well ;Dont worry, you can unsubscribe at anytime.']"
b'http://blogs.zebra.com/blog/bid/41273/RFID-and-Secure-ID-solutions-Serve-and-Protect',[]
b'http://investors.thecheesecakefactory.com/phoenix.zhtml?ID=1842391&c=109258&p=irol-newsArticle_Print',['; All day during regular business hours ; For more information visit ; or ; ; *One slice of cheesecake per dine-in guest.']
b'https://www.citrix.com/blogs/tag/citrix-service-provider/',"['; ;Dont worry, you can unsubscribe at anytime.']"
b'https://www.xerox.com/en-us/blogs?page=6',[]
b'https://www.xilinx.com/news/press/2013/xilinx-and-fox-networks-to-present-an-all-programmable-ip-based-broadcast-network-at-smpte-technical-conference-2013.html',"['These industry-leading devices are coupled with a ne-generation design environment and IP to serve a broad range of customer needs, from programmable logic to programmable systems integration.']"
b'http://blogs.zebra.com/refreshing-results',"[';The bad news is, people can underestimate how much they need to plan to upgrade their WLAN.', 'They rely on it to run their business and increasingly to serve their customers.']"
b'http://blog.searsholdings.com/tag/kmart/',"['But last Thursday, I had the pleasure of drinking my coffee with James Forthenberry, one of Kmart most dedicated associates.']"
b'http://blogs.zebra.com/blog/bid/38211/It-s-All-About-the-Data',"[';Dont get us wrong- this is coming from an e-book reading, on-line banking, email maniac who tweets throughout the day and is writing a blog.']"
b'https://channelpartner.blogs.xerox.com/category/channel-partners-2/sales-channel-partners/page/4/',[]
b'https://www.xerox.com/en-sr/blogs?page=3',"['Most buyers hate sales calls, and it is hard to blame them when they are presented with so many poor ones.']"
b'https://channelpartner.blogs.xerox.com/category/channel-partners-2/marketing-channel-partners/page/3/',"['Customers continue to respond positively to direct mail, and it remains an effective means of marketing in both the B2B and B2C markets.']"
b'https://connect.blogs.xerox.com/2015/04/01/early-for-earth-day-parking-and-printing-get-better/',"['It enables guided parking, predictive enforcement, meter and pay-by-cell management, and demand-based pricing all layered with analytics.', 'The provides real-time information on how intended print decisions influence financials and the environment.', 'He added, that were awarded Top Product or Project of the Year are those that should be carefully considered by companies seeking to improve operations and boost the bottom line.']"
b'http://searsholdings.com/press-releases/pr/1447',"['Begun two decades ago, the Partners and Progress program recognizes suppliers that make significant contributions to the growth of Sears businesses and the creation of new ways to better serve Sears customers.']"
b'https://blog.fitbit.com/heres-how-weekly-challenges-can-lead-to-weight-loss/',[';The spinach shake idea isnt as horrifyingly gross as it sounds.']
b'https://digitalprinting.blogs.xerox.com/category/business-objectives/delight-your-customers-business-objectives/',"['This means that there is plenty to do when your guests have departed.', 'Don suffer from the of the PDF.', 'Here are 3 common PowerPoint mistakes to avoid, helping you ensure your audience is not put to sleep.']"
b'https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2017/zebra-technologies-to-participate-in-second-annual-bloomberg-bre.html',[]
b'https://connect.blogs.xerox.com/category/workplace-solutions/page/9/',"['In preparation for the Olympics, some London based offices are allowing employees to work from home to ease traffic congestion.', 'You are probably doing 10 or so jobs at once, any one of which can jump out and become an emergency at any time.', 'Here are four things you can start doing today to be more focused in your small business.']"
b'https://channelpartner.blogs.xerox.com/page/6/',"['Recent threats like the Ransomware cyberattack have motivated small and midsize businesses (SMBs) to prioritize document security, but without help from an e it all worry and no action.']"
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=681612',"[""The brand's moisture-wicking fabrications are engineered in many different designs and styles for wear in nearly every climate to provide a performance alternative to traditional products.""]"
b'http://ir.homedepot.com/news-releases/2015/08-20-2015-014514694',[]
b'https://blog.fitbit.com/the-meditation-guide-for-people-who-dont-meditate/',"[';One of the best ways to combat an is to keep movingheres one of the many studies:;So before (or during) your meditation, make sure to get your steps in!', 'I have started suffering with an recently and this is a very encouraging article especially in the way is simplifies the art of meditation.', '; ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'http://global-sei.com/news/press/14/prs088_s.html',['The T-71C+ achieves a 6 second splice time and 14 second heat shrink time in Quick Mode.']
b'http://investors.thecheesecakefactory.com/phoenix.zhtml?ID=1842391&c=109258&p=irol-newsArticle',[]
b'https://channelpartner.blogs.xerox.com/category/channel-partners-2/marketing-channel-partners/page/8/',"['As someone who grew up in sales, but now lives in marketing, it always amazes me how marketing and sales approaches prospecting so differently and how often they are disconnected.']"
b'https://digitalprinting.blogs.xerox.com/category/business-objectives/grow-your-business-business-objectives/',['Are you continually losing bids to your competition?']
b'https://www.citrix.com/blogs/tag/saas/',[]
b'https://enterprisematters.blogs.xerox.com/2014/01/29/is-hiring-scientific/',[]
b'http://blog.searsholdings.com/inside-shc/sears-heroes-at-home-teams-with-rebuild-together/',"['SHC Speaks by Earlier this month, Sears volunteers teamed with the nonprofit to renovate Chicago transitional shelter for homeless veterans .', 'The project helped address an urgent need for veterans housing facilities.', 'here today, having the honor of meeting these wonderful veterans as well as those who are so dedicated to assisting them, has been inspiring, said Leena Munjal, senior vice president for Sears.']"
b'https://connect.blogs.xerox.com/2015/01/29/xerox-rd-chief-says-it-pays-to-dream-with-customers/',[]
b'https://connect.blogs.xerox.com/2014/09/19/heres-why-big-data-is-a-big-deal/',[]
b'https://digitalprinting.blogs.xerox.com/category/applications/photo-publishing/page/3/',[]
b'https://digitalprinting.blogs.xerox.com/category/technology-solutions/page/5/',[]
b'https://enterprisematters.blogs.xerox.com/2013/04/16/whats-the-future-of-printing/',[]
b'https://www.rosneft.com/press/today/item/175427/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/customer-stories/',[]
b'https://channelpartner.blogs.xerox.com/category/channel-partners-2/social-media/page/3/',['Here are four very simple ways any channel partner can use to find topics that will ultimately drive demand for their services.']
b'https://connect.blogs.xerox.com/author/tim-joyce/',"['In this rapidly changing landscape, innovators will thrive and laggards will suffer.']"
b'https://blog.fitbit.com/category/be-inspired/page/6/',[]
b'http://www.uabiz.com/news/releasedetail.cfm?ReleaseID=273291',"['The sales were done for asset diversification, tax and estate planning and charitable giving purposes.', ""The brand's moisture-wicking synthetic fabrications are engineered in many different designs and styles for wear in nearly every climate to provide a performance alternative to traditional natural fiber products.""]"
b'http://blog.searsholdings.com/members-first/sears-teams-up-wheel-of-fortune-this-holiday-season/',"['Void where prohibited.', 'There a delay between tape dates and air dates of the show.', 'Prizes subject to availability, ta and other restrictions.', 'Winning is dependent on a winner verifying online and in an affidavit/release in accordance with the Official Rules.']"
b'http://performance.ford.com/series/stock-car-racing/news/articles/stock-car-racing/2017/09/quick-lane-richmond.html',"['knew gonna be a struggle, said driver Ryan Blaney after the race.', 'The team re-started Stage 2 in 10 , again due to pit crew efficiency, but fell back to 16 the end of the second stanza.', 'The final 200-lap stage was a tough for Blaney who was fairly strong in the early going of a run but fell back during long green-flag runs.']"
b'http://blog.searsholdings.com/2017/05/',['SHC Speaks by We recently became aware that Sears Holdings was a victim of a security incident involving unauthorized credit card activity following certain customer purchases at some of our Kmart stores.']
b'https://digitalprinting.blogs.xerox.com/category/technology-solutions/',"['It impossible to develop relationships with all your social media connections.', 'This real-life case study will give you plenty of ideas.']"
b'http://global-sei.com/company/press/2017/05/prs055.html',"['Press Release; May 31, 2017 ;Sumitomo Electric Industries, Ltd.; ;As seen by her e career, such as her winning the doubles at the 2016 ITTF World Tour Grand Finals, Ms. Hamamoto is a world-leading player e to continue making spectacular showings in the future.']"
b'https://digitalprinting.blogs.xerox.com/tag/digital-press/page/4/',[]
b'http://blog.searsholdings.com/members-first/sears-turns-a-diy-disaster-into-a-dream-makeover/',"['SHC Speaks by Last week, Bethany Knutson of Bedford, Te, received a phone call she won soon forget.', 'about a disaster!', 'Constant water leaks and plumbing issues forced us to keep the floors and walls ripped up for over six months.', 'It was a disaster!']"
b'https://blog.fitbit.com/skin-health/',"['After about 5 months having it in my possession, i took time tonight.', 'I had chronic coughs the last 6 years and recurring bronchitis for began in 2013.', 'Everyday put me on o therapy in late 2013 till 2017 Jan. Im feeling much better now and got my vericose veins taken care of as well.', 'I have a movement disorder called Dystonia.', '; ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'https://blog.fitbit.com/this-womans-goal-just-keep-moving-in-the-right-direction/',"['Because I can relate to your story as I too am a former smoker and have lost a considerable amount of weight and I know how difficult it is to quit smoking and lose weight.', 'Its weird to see this article finally show up!', ';I was never a smoker, but gained weight with each of my pregnancies.', '; ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'https://digitalprinting.blogs.xerox.com/tag/igen4/page/3/',[]
b'https://india.news.xerox.com/2007/04/01/indian-cos-provide-terrific-support/',[]
b'https://digitalprinting.blogs.xerox.com/tag/applications/page/4/',"['Innovation can open new untapped opportunities for profit and growth, but can also e dangerous risks that must be evaluated and carefully considered.']"
b'https://blog.fitbit.com/fitbit-motivation-kristy-swanson/',"['Life is crazy in my household.', 'Just shy of my fist two weeks of owning my Flex and doing regular workouts, I shed seven pounds!', '; Comments ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'https://digitalprinting.blogs.xerox.com/author/xeroxproduction/page/2/',[]
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229525&c=254471&p=irol-newsArticle_Print',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/mobile-printing/page/7/',"['Document management is an area hurting for greater efficiency.', 'Both the Phaser 6022 and the WorkCentre 6027 are affordable and ideally designed for small, growing businesses.']"
b'http://www.uabiz.com/news/releasedetail.cfm?releaseid=850823',[]
b'https://enterprisematters.blogs.xerox.com/2014/01/31/a-new-name-for-business-of-work-enterprise-matters/',[]
b'https://digitalprinting.blogs.xerox.com/2015/08/11/9-ideas-for-maximizing-your-w2p-solution/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/mobile-printing/page/3/',"[' The mobile worker is an essential part of every small business.', 'As your small and mid-size business grows and evolves to adapt to your customers demands, you also need to be more productive to be able to deliver on those demands.']"
b'https://blog.fitbit.com/fitbit-alta-hr/',[]
b'https://smallbusinesssolutions.blogs.xerox.com/category/mobile-printing/page/5/',[]
b'http://blog.searsholdings.com/shc-updates/sears-holdings-continues-to-contribute-significant-value-to-the-u-s-retail-industry-and-our-local-communities/',"['In addition, our focused community engagement efforts support organizations that directly assist individuals and communities who face adversity and courageously overcome challenges: We remain a proud company working hard toward the success of our business and to improve the lives of the communities we serve.']"
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229543&c=254471&p=irol-newsArticle_Print',[]
b'https://channelpartner.blogs.xerox.com/category/channel-partners-2/partnering-for-excellence/page/2/',"['The steps of scanning, storing, filing and retrieving are time consuming and error prone.']"
b'http://blogs.zebra.com/blog/bid/61828/5-Hot-Topics-in-Retail-Technology-4-Self-Service-Kiosks',[]
b'http://www.rpminc.com/news-releases/news-release/?alttemplate=PrinterFriendly&reqid=476683',"['Industrial products include roofing systems, sealants, corrosion control coatings, flooring coatings and specialty chemicals.']"
b'http://rhelblog.redhat.com/tag/interoperability/',['As opposed to a solution that relies upon synchronization ;Continue reading ;Have you ever purchased a new dishwasher?']
b'http://blog.searsholdings.com/category/eddie-lampert/',[]
b'https://blog.fitbit.com/3-reasons-you-need-to-be-a-nose-breather/',"['Some allergies make everything go crazy.', 'Also a goo humidity balance 50-55 in the room helps.', '; ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229569&c=254471&p=irol-newsArticle_Print',[]
b'https://blog.fitbit.com/what-its-like-to-have-a-beer-with-jens-voigt/',"['Jens embraces pain and lives by the motto: Shut Up Legs!', 'I quit alcohol in 2014 but sometimes cook with it.', 'I used to suffer terribly with hangovers, i dont miss them one bit!', '; ; ; Please note: Comments are moderated and may not appear immediately after submission.']"
b'https://smallbusinesssolutions.blogs.xerox.com/author/jtripton/',['Just make sure you get a business-grade solution don wait until the competition catches on to the usefulness of technology.']
b'https://www.citrix.com/blogs/2016/11/28/revisit-virtual-apps-desktops-visit-citrix-cloud-at-aws-reinvent-2016/',"['No more tedious routine software maintenance or, worse, potentially disruptive and e forklift upgrades.', 'No more end users frustrated by reboot hassles or an inability to seamlessly work on any device, anywhere.']"
b'https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2017/chicago-communications-community-recognizes-zebra-technologies--.html',['The Skyline Awards program is an annual competition organized by the Public Relations Society of America (PRSA) that recognizes projects and programs demonstrating e in the communications field.']
b'https://digitalprinting.blogs.xerox.com/author/johnc/',"['Could today Production Inkjet technology with improving quality, lowering costs, and increasing fle have the same kind of impact?']"
b'http://searsholdings.com/press-releases/pr/1745',"['""Of the thousands of suppliers with whom we do business, our Partners in Progress award recipients have demonstrated the highest level of commitment, quality and leadership - attributes we strive to achieve in everything we do at Sears.', 'Begun almost 20 years ago, the Partners In Progress program recognizes suppliers that make significant contributions to the growth of Sears businesses and the creation of new ways to better serve Sears customers.']"
b'http://investors.technipfmc.com/phoenix.zhtml?ID=2229547&c=254471&p=irol-newsArticle_Print',[]
b'https://www.citrix.com/blogs/2017/06/07/introducing-sharefile-cloud-storage-for-citrix-service-providers/',[]
